"Index Name","Date","P/E","P/B","Div Yield %"
"NIFTY 50","01 Jan 2021","38.55","3.97","1.13"
"NIFTY 50","31 Dec 2020","38.45","3.96","1.14"
"NIFTY 50","30 Dec 2020","38.45","3.96","1.14"
"NIFTY 50","29 Dec 2020","38.31","3.94","1.14"
"NIFTY 50","28 Dec 2020","38.15","3.93","1.14"
"NIFTY 50","24 Dec 2020","37.81","3.89","1.15"
"NIFTY 50","23 Dec 2020","37.40","3.85","1.17"
"NIFTY 50","22 Dec 2020","37.03","3.81","1.18"
"NIFTY 50","21 Dec 2020","36.65","3.77","1.19"
"NIFTY 50","18 Dec 2020","37.84","3.89","1.15"
"NIFTY 50","17 Dec 2020","37.79","3.89","1.16"
"NIFTY 50","16 Dec 2020","37.63","3.87","1.16"
"NIFTY 50","15 Dec 2020","37.31","3.84","1.17"
"NIFTY 50","14 Dec 2020","37.28","3.84","1.17"
"NIFTY 50","11 Dec 2020","37.16","3.82","1.18"
"NIFTY 50","10 Dec 2020","37.06","3.81","1.18"
"NIFTY 50","09 Dec 2020","37.20","3.83","1.17"
"NIFTY 50","08 Dec 2020","36.83","3.79","1.19"
"NIFTY 50","07 Dec 2020","36.73","3.78","1.19"
"NIFTY 50","04 Dec 2020","36.46","3.75","1.20"
"NIFTY 50","03 Dec 2020","36.12","3.72","1.21"
"NIFTY 50","02 Dec 2020","36.06","3.71","1.21"
"NIFTY 50","01 Dec 2020","36.05","3.71","1.21"
"NIFTY 50","27 Nov 2020","35.66","3.67","1.22"
"NIFTY 50","26 Nov 2020","35.71","3.68","1.22"
"NIFTY 50","25 Nov 2020","35.36","3.64","1.23"
"NIFTY 50","24 Nov 2020","35.90","3.70","1.22"
"NIFTY 50","23 Nov 2020","35.55","3.66","1.23"
"NIFTY 50","20 Nov 2020","35.36","3.64","1.23"
"NIFTY 50","19 Nov 2020","35.12","3.61","1.24"
"NIFTY 50","18 Nov 2020","35.59","3.66","1.23"
"NIFTY 50","17 Nov 2020","34.93","3.64","1.23"
"NIFTY 50","14 Nov 2020","34.73","3.62","1.24"
"NIFTY 50","13 Nov 2020","34.57","3.60","1.25"
"NIFTY 50","12 Nov 2020","34.48","3.59","1.25"
"NIFTY 50","11 Nov 2020","34.50","3.61","1.25"
"NIFTY 50","10 Nov 2020","34.18","3.58","1.26"
"NIFTY 50","09 Nov 2020","33.62","3.53","1.27"
"NIFTY 50","06 Nov 2020","33.09","3.47","1.29"
"NIFTY 50","05 Nov 2020","32.84","3.43","1.31"
"NIFTY 50","04 Nov 2020","32.27","3.37","1.33"
"NIFTY 50","03 Nov 2020","31.82","3.34","1.34"
"NIFTY 50","02 Nov 2020","31.43","3.30","1.36"
"NIFTY 50","30 Oct 2020","31.90","3.30","1.36"
"NIFTY 50","29 Oct 2020","31.56","3.30","1.36"
"NIFTY 50","28 Oct 2020","33.94","3.32","1.35"
"NIFTY 50","27 Oct 2020","34.49","3.37","1.34"
"NIFTY 50","26 Oct 2020","33.95","3.33","1.35"
"NIFTY 50","23 Oct 2020","34.37","3.38","1.33"
"NIFTY 50","22 Oct 2020","34.27","3.37","1.33"
"NIFTY 50","21 Oct 2020","34.40","3.38","1.33"
"NIFTY 50","20 Oct 2020","34.28","3.37","1.33"
"NIFTY 50","19 Oct 2020","34.43","3.36","1.34"
"NIFTY 50","16 Oct 2020","34.13","3.33","1.35"
"NIFTY 50","15 Oct 2020","34.03","3.31","1.36"
"NIFTY 50","14 Oct 2020","34.87","3.39","1.33"
"NIFTY 50","13 Oct 2020","34.77","3.38","1.33"
"NIFTY 50","12 Oct 2020","34.76","3.38","1.33"
"NIFTY 50","09 Oct 2020","34.71","3.37","1.33"
"NIFTY 50","08 Oct 2020","34.40","3.35","1.34"
"NIFTY 50","07 Oct 2020","34.12","3.32","1.35"
"NIFTY 50","06 Oct 2020","33.90","3.30","1.36"
"NIFTY 50","05 Oct 2020","33.43","3.26","1.38"
"NIFTY 50","01 Oct 2020","33.18","3.23","1.39"
"NIFTY 50","30 Sep 2020","32.69","3.19","1.41"
"NIFTY 50","29 Sep 2020","32.62","3.18","1.42"
"NIFTY 50","28 Sep 2020","32.63","3.18","1.41"
"NIFTY 50","25 Sep 2020","32.12","3.13","1.44"
"NIFTY 50","24 Sep 2020","30.97","3.01","1.51"
"NIFTY 50","23 Sep 2020","31.91","3.10","1.47"
"NIFTY 50","22 Sep 2020","31.97","3.10","1.47"
"NIFTY 50","21 Sep 2020","32.25","3.13","1.45"
"NIFTY 50","18 Sep 2020","32.98","3.20","1.42"
"NIFTY 50","17 Sep 2020","33.01","3.20","1.42"
"NIFTY 50","16 Sep 2020","33.26","3.23","1.41"
"NIFTY 50","15 Sep 2020","33.03","3.20","1.42"
"NIFTY 50","14 Sep 2020","32.79","3.21","1.47"
"NIFTY 50","11 Sep 2020","32.86","3.22","1.46"
"NIFTY 50","10 Sep 2020","32.82","3.22","1.46"
"NIFTY 50","09 Sep 2020","32.33","3.17","1.49"
"NIFTY 50","08 Sep 2020","32.44","3.18","1.48"
"NIFTY 50","07 Sep 2020","32.55","3.19","1.48"
"NIFTY 50","04 Sep 2020","32.49","3.18","1.48"
"NIFTY 50","03 Sep 2020","33.04","3.24","1.45"
"NIFTY 50","02 Sep 2020","32.71","3.24","1.44"
"NIFTY 50","01 Sep 2020","32.53","3.22","1.45"
"NIFTY 50","31 Aug 2020","32.29","3.20","1.46"
"NIFTY 50","28 Aug 2020","32.92","3.26","1.43"
"NIFTY 50","27 Aug 2020","32.67","3.23","1.45"
"NIFTY 50","26 Aug 2020","32.64","3.23","1.45"
"NIFTY 50","25 Aug 2020","32.43","3.21","1.46"
"NIFTY 50","24 Aug 2020","32.41","3.21","1.46"
"NIFTY 50","21 Aug 2020","32.08","3.18","1.47"
"NIFTY 50","20 Aug 2020","31.91","3.17","1.49"
"NIFTY 50","19 Aug 2020","32.09","3.21","1.44"
"NIFTY 50","18 Aug 2020","32.03","3.21","1.45"
"NIFTY 50","17 Aug 2020","31.64","3.17","1.46"
"NIFTY 50","14 Aug 2020","31.09","3.15","1.47"
"NIFTY 50","13 Aug 2020","31.42","3.18","1.46"
"NIFTY 50","12 Aug 2020","31.33","3.18","1.46"
"NIFTY 50","11 Aug 2020","31.37","3.19","1.46"
"NIFTY 50","10 Aug 2020","31.23","3.17","1.46"
"NIFTY 50","07 Aug 2020","30.72","3.16","1.47"
"NIFTY 50","06 Aug 2020","30.68","3.15","1.47"
"NIFTY 50","05 Aug 2020","30.41","3.13","1.48"
"NIFTY 50","04 Aug 2020","30.39","3.12","1.49"
