"Index Name","Date","Open","High","Low","Close"
"NIFTY FINANCIAL SERVICES EX-BANK","01 Jan 2021","-","-","-","14802.91"
"NIFTY FINANCIAL SERVICES EX-BANK","31 Dec 2020","-","-","-","14720.11"
"NIFTY FINANCIAL SERVICES EX-BANK","30 Dec 2020","-","-","-","14682.42"
"NIFTY FINANCIAL SERVICES EX-BANK","29 Dec 2020","-","-","-","14606.72"
"NIFTY FINANCIAL SERVICES EX-BANK","28 Dec 2020","-","-","-","14566.87"
"NIFTY FINANCIAL SERVICES EX-BANK","24 Dec 2020","-","-","-","14383.22"
"NIFTY FINANCIAL SERVICES EX-BANK","23 Dec 2020","-","-","-","14181.00"
"NIFTY FINANCIAL SERVICES EX-BANK","22 Dec 2020","-","-","-","13995.59"
"NIFTY FINANCIAL SERVICES EX-BANK","21 Dec 2020","-","-","-","13968.60"
"NIFTY FINANCIAL SERVICES EX-BANK","18 Dec 2020","-","-","-","14501.86"
"NIFTY FINANCIAL SERVICES EX-BANK","17 Dec 2020","-","-","-","14575.33"
"NIFTY FINANCIAL SERVICES EX-BANK","16 Dec 2020","-","-","-","14415.34"
"NIFTY FINANCIAL SERVICES EX-BANK","15 Dec 2020","-","-","-","14243.80"
"NIFTY FINANCIAL SERVICES EX-BANK","14 Dec 2020","-","-","-","13999.25"
"NIFTY FINANCIAL SERVICES EX-BANK","11 Dec 2020","-","-","-","13937.20"
"NIFTY FINANCIAL SERVICES EX-BANK","10 Dec 2020","-","-","-","13894.52"
"NIFTY FINANCIAL SERVICES EX-BANK","09 Dec 2020","-","-","-","13979.95"
"NIFTY FINANCIAL SERVICES EX-BANK","08 Dec 2020","-","-","-","13928.57"
"NIFTY FINANCIAL SERVICES EX-BANK","07 Dec 2020","-","-","-","13934.57"
"NIFTY FINANCIAL SERVICES EX-BANK","04 Dec 2020","-","-","-","13783.82"
"NIFTY FINANCIAL SERVICES EX-BANK","03 Dec 2020","-","-","-","13828.31"
"NIFTY FINANCIAL SERVICES EX-BANK","02 Dec 2020","-","-","-","13740.98"
"NIFTY FINANCIAL SERVICES EX-BANK","01 Dec 2020","-","-","-","13754.97"
"NIFTY FINANCIAL SERVICES EX-BANK","27 Nov 2020","-","-","-","13696.84"
"NIFTY FINANCIAL SERVICES EX-BANK","26 Nov 2020","-","-","-","13570.57"
"NIFTY FINANCIAL SERVICES EX-BANK","25 Nov 2020","-","-","-","13338.13"
"NIFTY FINANCIAL SERVICES EX-BANK","24 Nov 2020","-","-","-","13456.84"
"NIFTY FINANCIAL SERVICES EX-BANK","23 Nov 2020","-","-","-","13434.58"
"NIFTY FINANCIAL SERVICES EX-BANK","20 Nov 2020","-","-","-","13433.07"
"NIFTY FINANCIAL SERVICES EX-BANK","19 Nov 2020","-","-","-","13165.25"
"NIFTY FINANCIAL SERVICES EX-BANK","18 Nov 2020","-","-","-","13362.97"
"NIFTY FINANCIAL SERVICES EX-BANK","17 Nov 2020","-","-","-","13136.36"
"NIFTY FINANCIAL SERVICES EX-BANK","14 Nov 2020","-","-","-","12925.78"
"NIFTY FINANCIAL SERVICES EX-BANK","13 Nov 2020","-","-","-","12874.95"
"NIFTY FINANCIAL SERVICES EX-BANK","12 Nov 2020","-","-","-","12791.12"
"NIFTY FINANCIAL SERVICES EX-BANK","11 Nov 2020","-","-","-","12733.29"
"NIFTY FINANCIAL SERVICES EX-BANK","10 Nov 2020","-","-","-","12544.10"
"NIFTY FINANCIAL SERVICES EX-BANK","09 Nov 2020","-","-","-","12080.92"
"NIFTY FINANCIAL SERVICES EX-BANK","06 Nov 2020","-","-","-","11976.20"
"NIFTY FINANCIAL SERVICES EX-BANK","05 Nov 2020","-","-","-","11797.56"
"NIFTY FINANCIAL SERVICES EX-BANK","04 Nov 2020","-","-","-","11557.69"
"NIFTY FINANCIAL SERVICES EX-BANK","03 Nov 2020","-","-","-","11588.61"
"NIFTY FINANCIAL SERVICES EX-BANK","02 Nov 2020","-","-","-","11354.69"
"NIFTY FINANCIAL SERVICES EX-BANK","30 Oct 2020","-","-","-","11037.26"
"NIFTY FINANCIAL SERVICES EX-BANK","29 Oct 2020","-","-","-","11057.85"
"NIFTY FINANCIAL SERVICES EX-BANK","28 Oct 2020","-","-","-","11141.92"
"NIFTY FINANCIAL SERVICES EX-BANK","27 Oct 2020","-","-","-","11360.67"
"NIFTY FINANCIAL SERVICES EX-BANK","26 Oct 2020","-","-","-","11288.42"
"NIFTY FINANCIAL SERVICES EX-BANK","23 Oct 2020","-","-","-","11329.19"
"NIFTY FINANCIAL SERVICES EX-BANK","22 Oct 2020","-","-","-","11311.97"
"NIFTY FINANCIAL SERVICES EX-BANK","21 Oct 2020","-","-","-","11263.75"
"NIFTY FINANCIAL SERVICES EX-BANK","20 Oct 2020","-","-","-","11254.85"
"NIFTY FINANCIAL SERVICES EX-BANK","19 Oct 2020","-","-","-","11283.78"
"NIFTY FINANCIAL SERVICES EX-BANK","16 Oct 2020","-","-","-","11070.01"
"NIFTY FINANCIAL SERVICES EX-BANK","15 Oct 2020","-","-","-","11016.91"
"NIFTY FINANCIAL SERVICES EX-BANK","14 Oct 2020","-","-","-","11275.59"
"NIFTY FINANCIAL SERVICES EX-BANK","13 Oct 2020","-","-","-","11035.67"
"NIFTY FINANCIAL SERVICES EX-BANK","12 Oct 2020","-","-","-","11147.47"
"NIFTY FINANCIAL SERVICES EX-BANK","09 Oct 2020","-","-","-","11211.02"
"NIFTY FINANCIAL SERVICES EX-BANK","08 Oct 2020","-","-","-","11208.80"
"NIFTY FINANCIAL SERVICES EX-BANK","07 Oct 2020","-","-","-","11242.40"
"NIFTY FINANCIAL SERVICES EX-BANK","06 Oct 2020","-","-","-","11350.48"
"NIFTY FINANCIAL SERVICES EX-BANK","05 Oct 2020","-","-","-","10999.19"
"NIFTY FINANCIAL SERVICES EX-BANK","01 Oct 2020","-","-","-","11074.55"
"NIFTY FINANCIAL SERVICES EX-BANK","30 Sep 2020","-","-","-","10779.11"
"NIFTY FINANCIAL SERVICES EX-BANK","29 Sep 2020","-","-","-","10754.22"
"NIFTY FINANCIAL SERVICES EX-BANK","28 Sep 2020","-","-","-","10768.62"
"NIFTY FINANCIAL SERVICES EX-BANK","25 Sep 2020","-","-","-","10459.30"
"NIFTY FINANCIAL SERVICES EX-BANK","24 Sep 2020","-","-","-","10231.13"
"NIFTY FINANCIAL SERVICES EX-BANK","23 Sep 2020","-","-","-","10550.62"
"NIFTY FINANCIAL SERVICES EX-BANK","22 Sep 2020","-","-","-","10603.29"
"NIFTY FINANCIAL SERVICES EX-BANK","21 Sep 2020","-","-","-","10757.38"
"NIFTY FINANCIAL SERVICES EX-BANK","18 Sep 2020","-","-","-","11052.19"
"NIFTY FINANCIAL SERVICES EX-BANK","17 Sep 2020","-","-","-","11138.96"
"NIFTY FINANCIAL SERVICES EX-BANK","16 Sep 2020","-","-","-","11279.85"
"NIFTY FINANCIAL SERVICES EX-BANK","15 Sep 2020","-","-","-","11210.03"
"NIFTY FINANCIAL SERVICES EX-BANK","14 Sep 2020","-","-","-","11117.00"
"NIFTY FINANCIAL SERVICES EX-BANK","11 Sep 2020","-","-","-","11194.23"
"NIFTY FINANCIAL SERVICES EX-BANK","10 Sep 2020","-","-","-","11124.41"
"NIFTY FINANCIAL SERVICES EX-BANK","09 Sep 2020","-","-","-","10949.92"
"NIFTY FINANCIAL SERVICES EX-BANK","08 Sep 2020","-","-","-","11106.46"
"NIFTY FINANCIAL SERVICES EX-BANK","07 Sep 2020","-","-","-","11182.73"
"NIFTY FINANCIAL SERVICES EX-BANK","04 Sep 2020","-","-","-","11225.36"
"NIFTY FINANCIAL SERVICES EX-BANK","03 Sep 2020","-","-","-","11417.91"
"NIFTY FINANCIAL SERVICES EX-BANK","02 Sep 2020","-","-","-","11437.25"
"NIFTY FINANCIAL SERVICES EX-BANK","01 Sep 2020","-","-","-","11438.75"
"NIFTY FINANCIAL SERVICES EX-BANK","31 Aug 2020","-","-","-","11265.44"
"NIFTY FINANCIAL SERVICES EX-BANK","28 Aug 2020","-","-","-","11751.71"
"NIFTY FINANCIAL SERVICES EX-BANK","27 Aug 2020","-","-","-","11622.89"
"NIFTY FINANCIAL SERVICES EX-BANK","26 Aug 2020","-","-","-","11555.40"
"NIFTY FINANCIAL SERVICES EX-BANK","25 Aug 2020","-","-","-","11537.67"
"NIFTY FINANCIAL SERVICES EX-BANK","24 Aug 2020","-","-","-","11382.23"
"NIFTY FINANCIAL SERVICES EX-BANK","21 Aug 2020","-","-","-","11257.13"
"NIFTY FINANCIAL SERVICES EX-BANK","20 Aug 2020","-","-","-","11211.09"
"NIFTY FINANCIAL SERVICES EX-BANK","19 Aug 2020","-","-","-","11320.97"
"NIFTY FINANCIAL SERVICES EX-BANK","18 Aug 2020","-","-","-","11277.51"
"NIFTY FINANCIAL SERVICES EX-BANK","17 Aug 2020","-","-","-","11114.76"
"NIFTY FINANCIAL SERVICES EX-BANK","14 Aug 2020","-","-","-","11073.16"
"NIFTY FINANCIAL SERVICES EX-BANK","13 Aug 2020","-","-","-","11266.91"
"NIFTY FINANCIAL SERVICES EX-BANK","12 Aug 2020","-","-","-","11249.82"
"NIFTY FINANCIAL SERVICES EX-BANK","11 Aug 2020","-","-","-","11284.57"
"NIFTY FINANCIAL SERVICES EX-BANK","10 Aug 2020","-","-","-","11238.95"
"NIFTY FINANCIAL SERVICES EX-BANK","07 Aug 2020","-","-","-","11182.44"
"NIFTY FINANCIAL SERVICES EX-BANK","06 Aug 2020","-","-","-","11085.69"
"NIFTY FINANCIAL SERVICES EX-BANK","05 Aug 2020","-","-","-","10975.76"
"NIFTY FINANCIAL SERVICES EX-BANK","04 Aug 2020","-","-","-","10969.07"
"NIFTY FINANCIAL SERVICES EX-BANK","03 Aug 2020","-","-","-","10809.26"
"NIFTY FINANCIAL SERVICES EX-BANK","31 Jul 2020","-","-","-","11025.63"
"NIFTY FINANCIAL SERVICES EX-BANK","30 Jul 2020","-","-","-","11097.40"
"NIFTY FINANCIAL SERVICES EX-BANK","29 Jul 2020","-","-","-","11310.58"
"NIFTY FINANCIAL SERVICES EX-BANK","28 Jul 2020","-","-","-","11305.29"
"NIFTY FINANCIAL SERVICES EX-BANK","27 Jul 2020","-","-","-","11118.72"
"NIFTY FINANCIAL SERVICES EX-BANK","24 Jul 2020","-","-","-","11178.17"
"NIFTY FINANCIAL SERVICES EX-BANK","23 Jul 2020","-","-","-","11305.86"
"NIFTY FINANCIAL SERVICES EX-BANK","22 Jul 2020","-","-","-","11239.82"
"NIFTY FINANCIAL SERVICES EX-BANK","21 Jul 2020","-","-","-","11294.06"
"NIFTY FINANCIAL SERVICES EX-BANK","20 Jul 2020","-","-","-","11214.60"
"NIFTY FINANCIAL SERVICES EX-BANK","17 Jul 2020","-","-","-","11033.37"
"NIFTY FINANCIAL SERVICES EX-BANK","16 Jul 2020","-","-","-","10841.81"
"NIFTY FINANCIAL SERVICES EX-BANK","15 Jul 2020","-","-","-","10712.58"
"NIFTY FINANCIAL SERVICES EX-BANK","14 Jul 2020","-","-","-","10798.56"
"NIFTY FINANCIAL SERVICES EX-BANK","13 Jul 2020","-","-","-","11026.43"
"NIFTY FINANCIAL SERVICES EX-BANK","10 Jul 2020","-","-","-","11121.90"
"NIFTY FINANCIAL SERVICES EX-BANK","09 Jul 2020","-","-","-","11253.86"
"NIFTY FINANCIAL SERVICES EX-BANK","08 Jul 2020","-","-","-","11095.14"
"NIFTY FINANCIAL SERVICES EX-BANK","07 Jul 2020","-","-","-","11241.61"
"NIFTY FINANCIAL SERVICES EX-BANK","06 Jul 2020","-","-","-","10996.49"
"NIFTY FINANCIAL SERVICES EX-BANK","03 Jul 2020","-","-","-","10834.11"
"NIFTY FINANCIAL SERVICES EX-BANK","02 Jul 2020","-","-","-","10803.08"
"NIFTY FINANCIAL SERVICES EX-BANK","01 Jul 2020","-","-","-","10665.35"
"NIFTY FINANCIAL SERVICES EX-BANK","30 Jun 2020","-","-","-","10392.92"
"NIFTY FINANCIAL SERVICES EX-BANK","29 Jun 2020","-","-","-","10351.47"
"NIFTY FINANCIAL SERVICES EX-BANK","26 Jun 2020","-","-","-","10504.23"
"NIFTY FINANCIAL SERVICES EX-BANK","25 Jun 2020","-","-","-","10591.45"
"NIFTY FINANCIAL SERVICES EX-BANK","24 Jun 2020","-","-","-","10531.83"
"NIFTY FINANCIAL SERVICES EX-BANK","23 Jun 2020","-","-","-","10753.15"
"NIFTY FINANCIAL SERVICES EX-BANK","22 Jun 2020","-","-","-","10522.46"
"NIFTY FINANCIAL SERVICES EX-BANK","19 Jun 2020","-","-","-","10304.63"
"NIFTY FINANCIAL SERVICES EX-BANK","18 Jun 2020","-","-","-","10082.57"
"NIFTY FINANCIAL SERVICES EX-BANK","17 Jun 2020","-","-","-","9781.97"
"NIFTY FINANCIAL SERVICES EX-BANK","16 Jun 2020","-","-","-","9810.46"
"NIFTY FINANCIAL SERVICES EX-BANK","15 Jun 2020","-","-","-","9646.62"
"NIFTY FINANCIAL SERVICES EX-BANK","12 Jun 2020","-","-","-","9849.39"
"NIFTY FINANCIAL SERVICES EX-BANK","11 Jun 2020","-","-","-","9680.12"
"NIFTY FINANCIAL SERVICES EX-BANK","10 Jun 2020","-","-","-","9810.73"
"NIFTY FINANCIAL SERVICES EX-BANK","09 Jun 2020","-","-","-","9729.57"
"NIFTY FINANCIAL SERVICES EX-BANK","08 Jun 2020","-","-","-","9827.45"
"NIFTY FINANCIAL SERVICES EX-BANK","05 Jun 2020","-","-","-","9687.69"
"NIFTY FINANCIAL SERVICES EX-BANK","04 Jun 2020","-","-","-","9521.89"
"NIFTY FINANCIAL SERVICES EX-BANK","03 Jun 2020","-","-","-","9719.14"
"NIFTY FINANCIAL SERVICES EX-BANK","02 Jun 2020","-","-","-","9594.26"
"NIFTY FINANCIAL SERVICES EX-BANK","01 Jun 2020","-","-","-","9310.17"
"NIFTY FINANCIAL SERVICES EX-BANK","29 May 2020","-","-","-","8945.43"
"NIFTY FINANCIAL SERVICES EX-BANK","28 May 2020","-","-","-","8776.69"
"NIFTY FINANCIAL SERVICES EX-BANK","27 May 2020","-","-","-","8615.98"
"NIFTY FINANCIAL SERVICES EX-BANK","26 May 2020","-","-","-","8375.32"
"NIFTY FINANCIAL SERVICES EX-BANK","22 May 2020","-","-","-","8424.42"
"NIFTY FINANCIAL SERVICES EX-BANK","21 May 2020","-","-","-","8709.94"
"NIFTY FINANCIAL SERVICES EX-BANK","20 May 2020","-","-","-","8781.21"
