"Index Name","Date","Open","High","Low","Close"
"NIFTY FINANCIAL SERVICES","01 Jan 2021","15215.4","15282.45","15156.65","15184.50"
"NIFTY FINANCIAL SERVICES","31 Dec 2020","15165.8","15273.7","15092.8","15208.00"
"NIFTY FINANCIAL SERVICES","30 Dec 2020","15181.55","15184.25","15004.4","15162.90"
"NIFTY FINANCIAL SERVICES","29 Dec 2020","15021.9","15144.05","15015.85","15120.00"
"NIFTY FINANCIAL SERVICES","28 Dec 2020","14851.85","14988.15","14843.75","14966.45"
"NIFTY FINANCIAL SERVICES","24 Dec 2020","14607.25","14836.6","14576.75","14779.60"
"NIFTY FINANCIAL SERVICES","23 Dec 2020","14391.8","14544.9","14343.1","14517.05"
"NIFTY FINANCIAL SERVICES","22 Dec 2020","14453.65","14484","14145.95","14421.60"
"NIFTY FINANCIAL SERVICES","21 Dec 2020","14830.85","14847.55","14250.8","14392.60"
"NIFTY FINANCIAL SERVICES","18 Dec 2020","14937","14946.65","14741.3","14879.15"
"NIFTY FINANCIAL SERVICES","17 Dec 2020","14843.55","14988.9","14772.4","14963.55"
"NIFTY FINANCIAL SERVICES","16 Dec 2020","14800.05","14838.3","14694.45","14789.30"
"NIFTY FINANCIAL SERVICES","15 Dec 2020","14569.65","14695.15","14437.6","14673.00"
"NIFTY FINANCIAL SERVICES","14 Dec 2020","14560.65","14583.8","14458.55","14561.50"
"NIFTY FINANCIAL SERVICES","11 Dec 2020","14492.15","14577.25","14376.65","14501.90"
"NIFTY FINANCIAL SERVICES","10 Dec 2020","14504.65","14505.35","14342.75","14450.10"
"NIFTY FINANCIAL SERVICES","09 Dec 2020","14418.1","14580.25","14416.45","14554.30"
"NIFTY FINANCIAL SERVICES","08 Dec 2020","14410.75","14440.15","14315.1","14384.70"
"NIFTY FINANCIAL SERVICES","07 Dec 2020","14277.85","14383.9","14221.9","14360.25"
"NIFTY FINANCIAL SERVICES","04 Dec 2020","14181.4","14357.4","14124.1","14286.45"
"NIFTY FINANCIAL SERVICES","03 Dec 2020","14301.7","14305.35","14094.7","14138.75"
"NIFTY FINANCIAL SERVICES","02 Dec 2020","14360.1","14363.35","14053.85","14187.50"
"NIFTY FINANCIAL SERVICES","01 Dec 2020","14358.2","14410.35","14209.25","14352.05"
"NIFTY FINANCIAL SERVICES","27 Nov 2020","14277.25","14334.15","14136.15","14293.15"
"NIFTY FINANCIAL SERVICES","26 Nov 2020","14080.15","14271.75","13944.3","14237.65"
"NIFTY FINANCIAL SERVICES","25 Nov 2020","14393.55","14439.3","13981.75","14011.70"
"NIFTY FINANCIAL SERVICES","24 Nov 2020","14170.95","14312.6","14139.05","14275.25"
"NIFTY FINANCIAL SERVICES","23 Nov 2020","14293.75","14309.85","13989.65","14059.10"
"NIFTY FINANCIAL SERVICES","20 Nov 2020","13994.65","14273.05","13936.2","14210.50"
"NIFTY FINANCIAL SERVICES","19 Nov 2020","14127.05","14276.8","13942.8","13973.50"
"NIFTY FINANCIAL SERVICES","18 Nov 2020","14071.5","14315.85","14038.95","14301.45"
