"Index Name","Date","Open","High","Low","Close"
"NIFTY FMCG","01 Jan 2021","34236.7","34435.2","34212.2","34391.85"
"NIFTY FMCG","31 Dec 2020","34255.1","34324.95","34109.5","34177.10"
"NIFTY FMCG","30 Dec 2020","34323.95","34362.7","34039.2","34313.70"
"NIFTY FMCG","29 Dec 2020","34313.7","34377.4","33982.35","34181.95"
"NIFTY FMCG","28 Dec 2020","34262.05","34369.4","34079.45","34181.10"
"NIFTY FMCG","24 Dec 2020","34191.2","34288.45","33769.35","34115.65"
"NIFTY FMCG","23 Dec 2020","33392.5","34040.95","33284.75","33966.00"
"NIFTY FMCG","22 Dec 2020","33195.7","33544.55","32633.75","33329.05"
"NIFTY FMCG","21 Dec 2020","34121.75","34121.75","32570.75","33151.10"
"NIFTY FMCG","18 Dec 2020","34090.05","34173.5","33878.2","34102.70"
"NIFTY FMCG","17 Dec 2020","34221.4","34234.8","33955.35","34013.55"
"NIFTY FMCG","16 Dec 2020","34058.25","34352.75","34037.3","34195.85"
"NIFTY FMCG","15 Dec 2020","34329.5","34360.8","33906.1","33967.90"
"NIFTY FMCG","14 Dec 2020","34505.35","34596.05","34334.6","34411.65"
"NIFTY FMCG","11 Dec 2020","34245.25","34427.7","33987.25","34364.85"
"NIFTY FMCG","10 Dec 2020","33161.4","34122.5","33002","34054.80"
"NIFTY FMCG","09 Dec 2020","33019.65","33182.35","32954.4","33125.50"
"NIFTY FMCG","08 Dec 2020","32969.4","33086","32572.25","32849.85"
"NIFTY FMCG","07 Dec 2020","32358.6","32907.45","32351.95","32866.90"
"NIFTY FMCG","04 Dec 2020","32044.05","32404.85","32016.5","32356.75"
"NIFTY FMCG","03 Dec 2020","32022.25","32027.65","31754.05","31908.65"
"NIFTY FMCG","02 Dec 2020","31811.15","31918.8","31591.85","31820.25"
"NIFTY FMCG","01 Dec 2020","32090.8","32090.8","31655.65","31705.25"
"NIFTY FMCG","27 Nov 2020","31786.4","31898.2","31431.5","31718.80"
"NIFTY FMCG","26 Nov 2020","31548.45","31765.5","31305.65","31701.30"
"NIFTY FMCG","25 Nov 2020","31926.35","32006","31350.35","31441.70"
"NIFTY FMCG","24 Nov 2020","31600.4","31878.1","31576.95","31832.20"
"NIFTY FMCG","23 Nov 2020","31593.6","31610.2","31358.8","31568.10"
"NIFTY FMCG","20 Nov 2020","31234.8","31531.7","31116.05","31454.35"
"NIFTY FMCG","19 Nov 2020","30833.7","31353.8","30783.35","31085.20"
"NIFTY FMCG","18 Nov 2020","31229.5","31252.25","30886.2","30952.85"
"NIFTY FMCG","17 Nov 2020","31572.85","31572.85","31240.65","31291.45"
"NIFTY FMCG","14 Nov 2020","31430.15","31451.75","31282.85","31336.10"
"NIFTY FMCG","13 Nov 2020","31270.2","31393.45","31151","31222.10"
"NIFTY FMCG","12 Nov 2020","30840.05","31318.6","30776.55","31240.20"
"NIFTY FMCG","11 Nov 2020","30589.05","30886.75","30289.2","30845.60"
"NIFTY FMCG","10 Nov 2020","30636.6","30646.8","30086.05","30494.75"
"NIFTY FMCG","09 Nov 2020","30388.8","30546.85","30247.35","30453.70"
"NIFTY FMCG","06 Nov 2020","30293.4","30393.1","30083.4","30150.65"
"NIFTY FMCG","05 Nov 2020","29898.45","30216.75","29805.55","30180.05"
"NIFTY FMCG","04 Nov 2020","29565.25","29858.4","29537.95","29612.40"
"NIFTY FMCG","03 Nov 2020","29622.75","29655.8","29434.05","29526.35"
"NIFTY FMCG","02 Nov 2020","29538.6","29568.9","29307.25","29441.45"
"NIFTY FMCG","30 Oct 2020","29682.8","29829.15","29329.8","29428.45"
"NIFTY FMCG","29 Oct 2020","29720.4","29847.5","29595.75","29663.45"
"NIFTY FMCG","28 Oct 2020","30240.3","30240.3","29882.55","29948.10"
"NIFTY FMCG","27 Oct 2020","29784.15","30208.1","29752.45","30163.70"
"NIFTY FMCG","26 Oct 2020","29927.7","29940.4","29635.35","29774.65"
"NIFTY FMCG","23 Oct 2020","29830.65","29861.9","29641.95","29782.20"
"NIFTY FMCG","22 Oct 2020","29671.85","29776.05","29526.35","29715.35"
"NIFTY FMCG","21 Oct 2020","30105.05","30139.25","29483.2","29684.10"
"NIFTY FMCG","20 Oct 2020","29997.1","30117.25","29744.65","29964.60"
"NIFTY FMCG","19 Oct 2020","29815.85","30151","29745.45","30068.85"
"NIFTY FMCG","16 Oct 2020","29802.2","29834","29546.05","29671.05"
"NIFTY FMCG","15 Oct 2020","30006","30107","29554.35","29644.80"
"NIFTY FMCG","14 Oct 2020","29918.15","29987.8","29754.1","29959.60"
"NIFTY FMCG","13 Oct 2020","30055.2","30257.6","29866","29926.70"
"NIFTY FMCG","12 Oct 2020","30107.35","30297.5","29890.05","30024.25"
"NIFTY FMCG","09 Oct 2020","30130.05","30258.7","29862.3","29923.90"
"NIFTY FMCG","08 Oct 2020","30262.95","30325","30006.55","30136.05"
"NIFTY FMCG","07 Oct 2020","30138.4","30310.45","30072.6","30168.80"
"NIFTY FMCG","06 Oct 2020","30228.35","30397","29965.05","30054.70"
"NIFTY FMCG","05 Oct 2020","30083.8","30217.25","29965","30112.15"
"NIFTY FMCG","01 Oct 2020","30149.15","30155.95","29894.05","30009.55"
"NIFTY FMCG","30 Sep 2020","29507.9","30015.95","29437.75","29841.75"
"NIFTY FMCG","29 Sep 2020","30026.1","30056.45","29396.8","29434.80"
"NIFTY FMCG","28 Sep 2020","29754.95","30001.6","29630.55","29886.20"
"NIFTY FMCG","25 Sep 2020","29371.9","29763.75","29221.1","29633.50"
"NIFTY FMCG","24 Sep 2020","29200.4","29275.95","28969.35","29044.95"
"NIFTY FMCG","23 Sep 2020","29426","29652.25","29149.15","29322.35"
"NIFTY FMCG","22 Sep 2020","29564.6","29583.85","29065.45","29312.40"
"NIFTY FMCG","21 Sep 2020","30491.75","30526.65","29381.35","29541.75"
"NIFTY FMCG","18 Sep 2020","30730.1","30758.65","30321.9","30460.85"
"NIFTY FMCG","17 Sep 2020","30822.7","30894.4","30613.45","30651.75"
"NIFTY FMCG","16 Sep 2020","30748.3","30865.9","30670.05","30837.55"
"NIFTY FMCG","15 Sep 2020","30846.25","30866.6","30617.9","30712.20"
"NIFTY FMCG","14 Sep 2020","31151.85","31153.8","30669.25","30760.50"
