"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA MANUFACTURING","01 Jan 2021","-","-","-","5891.35"
"NIFTY INDIA MANUFACTURING","31 Dec 2020","-","-","-","5845.84"
"NIFTY INDIA MANUFACTURING","30 Dec 2020","-","-","-","5812.17"
"NIFTY INDIA MANUFACTURING","29 Dec 2020","-","-","-","5786.54"
"NIFTY INDIA MANUFACTURING","28 Dec 2020","-","-","-","5797.15"
"NIFTY INDIA MANUFACTURING","24 Dec 2020","-","-","-","5755.93"
"NIFTY INDIA MANUFACTURING","23 Dec 2020","-","-","-","5717.86"
"NIFTY INDIA MANUFACTURING","22 Dec 2020","-","-","-","5624.11"
"NIFTY INDIA MANUFACTURING","21 Dec 2020","-","-","-","5570.70"
"NIFTY INDIA MANUFACTURING","18 Dec 2020","-","-","-","5814.52"
"NIFTY INDIA MANUFACTURING","17 Dec 2020","-","-","-","5779.00"
"NIFTY INDIA MANUFACTURING","16 Dec 2020","-","-","-","5779.45"
"NIFTY INDIA MANUFACTURING","15 Dec 2020","-","-","-","5715.62"
"NIFTY INDIA MANUFACTURING","14 Dec 2020","-","-","-","5708.66"
"NIFTY INDIA MANUFACTURING","11 Dec 2020","-","-","-","5686.58"
"NIFTY INDIA MANUFACTURING","10 Dec 2020","-","-","-","5690.68"
"NIFTY INDIA MANUFACTURING","09 Dec 2020","-","-","-","5728.60"
"NIFTY INDIA MANUFACTURING","08 Dec 2020","-","-","-","5695.97"
"NIFTY INDIA MANUFACTURING","07 Dec 2020","-","-","-","5726.03"
"NIFTY INDIA MANUFACTURING","04 Dec 2020","-","-","-","5693.10"
"NIFTY INDIA MANUFACTURING","03 Dec 2020","-","-","-","5650.68"
"NIFTY INDIA MANUFACTURING","02 Dec 2020","-","-","-","5590.23"
"NIFTY INDIA MANUFACTURING","01 Dec 2020","-","-","-","5526.48"
"NIFTY INDIA MANUFACTURING","27 Nov 2020","-","-","-","5461.07"
"NIFTY INDIA MANUFACTURING","26 Nov 2020","-","-","-","5425.75"
"NIFTY INDIA MANUFACTURING","25 Nov 2020","-","-","-","5356.49"
"NIFTY INDIA MANUFACTURING","24 Nov 2020","-","-","-","5443.61"
"NIFTY INDIA MANUFACTURING","23 Nov 2020","-","-","-","5381.39"
"NIFTY INDIA MANUFACTURING","20 Nov 2020","-","-","-","5327.17"
"NIFTY INDIA MANUFACTURING","19 Nov 2020","-","-","-","5308.87"
"NIFTY INDIA MANUFACTURING","18 Nov 2020","-","-","-","5316.70"
"NIFTY INDIA MANUFACTURING","17 Nov 2020","-","-","-","5277.36"
"NIFTY INDIA MANUFACTURING","14 Nov 2020","-","-","-","5245.58"
"NIFTY INDIA MANUFACTURING","13 Nov 2020","-","-","-","5216.54"
"NIFTY INDIA MANUFACTURING","12 Nov 2020","-","-","-","5182.33"
"NIFTY INDIA MANUFACTURING","11 Nov 2020","-","-","-","5160.55"
"NIFTY INDIA MANUFACTURING","10 Nov 2020","-","-","-","5095.39"
"NIFTY INDIA MANUFACTURING","09 Nov 2020","-","-","-","5130.05"
"NIFTY INDIA MANUFACTURING","06 Nov 2020","-","-","-","5078.20"
"NIFTY INDIA MANUFACTURING","05 Nov 2020","-","-","-","5062.18"
"NIFTY INDIA MANUFACTURING","04 Nov 2020","-","-","-","4958.09"
"NIFTY INDIA MANUFACTURING","03 Nov 2020","-","-","-","4907.74"
"NIFTY INDIA MANUFACTURING","02 Nov 2020","-","-","-","4858.36"
"NIFTY INDIA MANUFACTURING","30 Oct 2020","-","-","-","4897.03"
"NIFTY INDIA MANUFACTURING","29 Oct 2020","-","-","-","4895.43"
"NIFTY INDIA MANUFACTURING","28 Oct 2020","-","-","-","4914.36"
"NIFTY INDIA MANUFACTURING","27 Oct 2020","-","-","-","4952.14"
