"Index Name","Date","Open","High","Low","Close"
"NIFTY INFRASTRUCTURE","01 Jan 2021","3656.25","3678.45","3651.7","3674.20"
"NIFTY INFRASTRUCTURE","31 Dec 2020","3668","3677.9","3644.1","3650.95"
"NIFTY INFRASTRUCTURE","30 Dec 2020","3656.75","3675.2","3626.9","3669.25"
"NIFTY INFRASTRUCTURE","29 Dec 2020","3669.15","3674.45","3619.45","3645.45"
"NIFTY INFRASTRUCTURE","28 Dec 2020","3643.7","3659.9","3641","3656.35"
"NIFTY INFRASTRUCTURE","24 Dec 2020","3620.05","3636","3591.75","3620.95"
"NIFTY INFRASTRUCTURE","23 Dec 2020","3563.05","3590.75","3540.95","3584.85"
"NIFTY INFRASTRUCTURE","22 Dec 2020","3513.55","3575","3452.2","3562.45"
"NIFTY INFRASTRUCTURE","21 Dec 2020","3663.7","3681.65","3402.65","3511.50"
"NIFTY INFRASTRUCTURE","18 Dec 2020","3676.35","3683.75","3643.05","3666.90"
"NIFTY INFRASTRUCTURE","17 Dec 2020","3694.05","3698.85","3667.2","3676.35"
"NIFTY INFRASTRUCTURE","16 Dec 2020","3677.6","3686.5","3660.9","3682.70"
"NIFTY INFRASTRUCTURE","15 Dec 2020","3660.5","3660.5","3615.65","3652.45"
"NIFTY INFRASTRUCTURE","14 Dec 2020","3635.45","3659.1","3632","3652.00"
"NIFTY INFRASTRUCTURE","11 Dec 2020","3613.4","3644.35","3581.45","3618.15"
"NIFTY INFRASTRUCTURE","10 Dec 2020","3618.6","3622.05","3572.7","3600.10"
"NIFTY INFRASTRUCTURE","09 Dec 2020","3628.75","3634.35","3616.2","3623.45"
"NIFTY INFRASTRUCTURE","08 Dec 2020","3621.5","3636.15","3579.15","3607.20"
"NIFTY INFRASTRUCTURE","07 Dec 2020","3578","3608.15","3571.2","3604.30"
"NIFTY INFRASTRUCTURE","04 Dec 2020","3553.15","3578.8","3535.9","3565.90"
"NIFTY INFRASTRUCTURE","03 Dec 2020","3532.55","3536.5","3507.7","3528.55"
"NIFTY INFRASTRUCTURE","02 Dec 2020","3487.1","3504.55","3464.1","3501.80"
"NIFTY INFRASTRUCTURE","01 Dec 2020","3458.15","3480.45","3435.05","3476.85"
"NIFTY INFRASTRUCTURE","27 Nov 2020","3443.65","3457.5","3396.1","3424.75"
