"Index Name","Date","Open","High","Low","Close"
"NIFTY IT","01 Jan 2021","24300.2","24500.7","24288.95","24456.10"
"NIFTY IT","31 Dec 2020","24255.95","24295.2","24137.8","24251.35"
"NIFTY IT","30 Dec 2020","24312.5","24394.75","24176.25","24330.05"
"NIFTY IT","29 Dec 2020","24093.05","24424.2","24090.3","24274.05"
"NIFTY IT","28 Dec 2020","24065.4","24192.05","24037.8","24100.30"
"NIFTY IT","24 Dec 2020","24163.2","24163.2","23828.05","24009.25"
"NIFTY IT","23 Dec 2020","23787.8","24228.8","23758.4","24167.75"
"NIFTY IT","22 Dec 2020","22921.85","23680.9","22745.25","23611.60"
"NIFTY IT","21 Dec 2020","23233.5","23506.7","22458.15","22844.60"
"NIFTY IT","18 Dec 2020","23173.15","23416.5","23148.5","23256.55"
"NIFTY IT","17 Dec 2020","22913.15","22960.5","22835.4","22892.25"
"NIFTY IT","16 Dec 2020","22830.4","22933.8","22701.55","22906.25"
"NIFTY IT","15 Dec 2020","22656.35","22779.7","22608.35","22715.10"
"NIFTY IT","14 Dec 2020","22786","22792.45","22487.3","22746.70"
"NIFTY IT","11 Dec 2020","22754.5","22901.75","22541.1","22664.00"
"NIFTY IT","10 Dec 2020","22693.95","22809.55","22606.6","22755.75"
"NIFTY IT","09 Dec 2020","22799.95","22895.5","22720.5","22803.45"
"NIFTY IT","08 Dec 2020","22484.35","22737.95","22387.35","22617.35"
"NIFTY IT","07 Dec 2020","22333.3","22482.9","22271","22440.85"
"NIFTY IT","04 Dec 2020","22222.25","22347.85","22130.3","22309.80"
"NIFTY IT","03 Dec 2020","22458.75","22458.8","22147.3","22202.20"
"NIFTY IT","02 Dec 2020","22149.35","22371.55","21961.45","22319.00"
"NIFTY IT","01 Dec 2020","21921.1","22216.45","21814.4","22170.85"
"NIFTY IT","27 Nov 2020","21879.15","21972.95","21701.3","21764.90"
"NIFTY IT","26 Nov 2020","21717.4","21919.15","21544.05","21859.90"
"NIFTY IT","25 Nov 2020","22087.9","22132.9","21675.9","21705.90"
"NIFTY IT","24 Nov 2020","22099.6","22281.85","22016.95","22064.30"
"NIFTY IT","23 Nov 2020","21551.85","22047.05","21432.65","22007.05"
"NIFTY IT","20 Nov 2020","21275.35","21500.65","21121.75","21409.25"
"NIFTY IT","19 Nov 2020","21285.75","21451.8","21070.25","21114.45"
"NIFTY IT","18 Nov 2020","21519.15","21557.1","21153.85","21314.85"
"NIFTY IT","17 Nov 2020","21704.05","21706.2","21361.45","21488.55"
"NIFTY IT","14 Nov 2020","21604.4","21618.9","21532.85","21552.75"
"NIFTY IT","13 Nov 2020","21305.35","21462","21219.8","21436.85"
"NIFTY IT","12 Nov 2020","21380.2","21610.05","21291.7","21363.35"
"NIFTY IT","11 Nov 2020","21029.25","21365.65","20967.8","21330.45"
"NIFTY IT","10 Nov 2020","21633.1","21633.1","20862.7","20978.50"
"NIFTY IT","09 Nov 2020","21751.65","21926.9","21620.55","21820.15"
"NIFTY IT","06 Nov 2020","21435.15","21582.2","21251.55","21492.25"
"NIFTY IT","05 Nov 2020","21383.7","21596","21284.6","21385.65"
"NIFTY IT","04 Nov 2020","20769.9","21468.45","20765.8","21104.55"
"NIFTY IT","03 Nov 2020","20792.25","21017.95","20679.65","20736.00"
"NIFTY IT","02 Nov 2020","20964.15","21012.45","20669.35","20732.30"
"NIFTY IT","30 Oct 2020","20912.95","21197.3","20797.5","20916.85"
"NIFTY IT","29 Oct 2020","20667.7","20961.05","20548.3","20876.95"
"NIFTY IT","28 Oct 2020","21121.9","21194.75","20701","20810.30"
"NIFTY IT","27 Oct 2020","21287.1","21371.6","20932.7","21023.40"
"NIFTY IT","26 Oct 2020","21493.3","21595.8","21148.65","21265.70"
"NIFTY IT","23 Oct 2020","21546.65","21621.6","21385.15","21523.60"
"NIFTY IT","22 Oct 2020","21480.7","21767.05","21290.45","21413.50"
