"Index Name","Date","Open","High","Low","Close"
"NIFTY OIL & GAS","01 Jan 2021","-","-","-","5542.87"
"NIFTY OIL & GAS","31 Dec 2020","-","-","-","5524.05"
"NIFTY OIL & GAS","30 Dec 2020","-","-","-","5542.50"
"NIFTY OIL & GAS","29 Dec 2020","-","-","-","5535.17"
"NIFTY OIL & GAS","28 Dec 2020","-","-","-","5538.03"
"NIFTY OIL & GAS","24 Dec 2020","-","-","-","5484.13"
"NIFTY OIL & GAS","23 Dec 2020","-","-","-","5394.47"
"NIFTY OIL & GAS","22 Dec 2020","-","-","-","5367.29"
"NIFTY OIL & GAS","21 Dec 2020","-","-","-","5301.39"
"NIFTY OIL & GAS","18 Dec 2020","-","-","-","5607.17"
"NIFTY OIL & GAS","17 Dec 2020","-","-","-","5639.36"
"NIFTY OIL & GAS","16 Dec 2020","-","-","-","5678.06"
"NIFTY OIL & GAS","15 Dec 2020","-","-","-","5652.26"
"NIFTY OIL & GAS","14 Dec 2020","-","-","-","5704.83"
"NIFTY OIL & GAS","11 Dec 2020","-","-","-","5617.22"
"NIFTY OIL & GAS","10 Dec 2020","-","-","-","5537.88"
"NIFTY OIL & GAS","09 Dec 2020","-","-","-","5576.84"
"NIFTY OIL & GAS","08 Dec 2020","-","-","-","5523.29"
"NIFTY OIL & GAS","07 Dec 2020","-","-","-","5522.51"
"NIFTY OIL & GAS","04 Dec 2020","-","-","-","5463.15"
"NIFTY OIL & GAS","03 Dec 2020","-","-","-","5463.37"
"NIFTY OIL & GAS","02 Dec 2020","-","-","-","5398.23"
"NIFTY OIL & GAS","01 Dec 2020","-","-","-","5317.40"
"NIFTY OIL & GAS","27 Nov 2020","-","-","-","5217.53"
"NIFTY OIL & GAS","26 Nov 2020","-","-","-","5194.55"
"NIFTY OIL & GAS","25 Nov 2020","-","-","-","5204.29"
"NIFTY OIL & GAS","24 Nov 2020","-","-","-","5206.42"
"NIFTY OIL & GAS","23 Nov 2020","-","-","-","5190.67"
"NIFTY OIL & GAS","20 Nov 2020","-","-","-","5072.94"
"NIFTY OIL & GAS","19 Nov 2020","-","-","-","5092.66"
"NIFTY OIL & GAS","18 Nov 2020","-","-","-","5123.79"
"NIFTY OIL & GAS","17 Nov 2020","-","-","-","5101.72"
"NIFTY OIL & GAS","14 Nov 2020","-","-","-","5117.64"
"NIFTY OIL & GAS","13 Nov 2020","-","-","-","5057.14"
"NIFTY OIL & GAS","12 Nov 2020","-","-","-","5029.78"
"NIFTY OIL & GAS","11 Nov 2020","-","-","-","5040.54"
"NIFTY OIL & GAS","10 Nov 2020","-","-","-","5035.72"
"NIFTY OIL & GAS","09 Nov 2020","-","-","-","4947.95"
"NIFTY OIL & GAS","06 Nov 2020","-","-","-","4882.95"
"NIFTY OIL & GAS","05 Nov 2020","-","-","-","4820.05"
