Date,INR
1979-02-01,14.7
1979-03-01,14.7
1979-04-01,14.8
1979-05-01,15.1
1979-08-01,15.1
1979-09-01,14.9
1979-10-01,14.8
1979-11-01,14.8
1979-12-01,14.6
1979-01-15,14.6
1979-01-16,14.7
1979-01-17,15.1
1979-01-18,15.2
1979-01-19,15.9
1979-01-22,15.4
1979-01-23,15.5
1979-01-24,15.8
1979-01-25,15.8
1979-01-26,15.8
1979-01-29,15.4
1979-01-30,15.7
1979-01-31,15.1
1979-01-02,15.8
1979-02-02,15.6
1979-05-02,16.1
1979-06-02,16.3
1979-07-02,16.6
1979-08-02,17.0
1979-09-02,16.4
1979-12-02,16.7
1979-02-13,16.4
1979-02-14,15.9
1979-02-15,16.4
1979-02-16,16.5
1979-02-19,16.7
1979-02-20,16.6
1979-02-21,16.7
1979-02-22,16.8
1979-02-23,16.7
1979-02-26,16.6
1979-02-27,16.5
1979-02-28,16.5
1979-01-03,16.6
1979-02-03,16.5
1979-05-03,16.1
1979-06-03,15.9
1979-07-03,16.0
1979-08-03,15.7
1979-09-03,15.9
1979-12-03,15.9
1979-03-13,16.1
1979-03-14,16.1
1979-03-15,16.1
1979-03-16,16.1
1979-03-19,16.5
1979-03-20,16.3
1979-03-21,16.2
1979-03-22,16.3
1979-03-23,16.3
1979-03-26,16.3
1979-03-27,16.4
1979-03-28,16.3
1979-03-29,16.1
1979-03-30,15.9
1979-02-04,15.9
1979-03-04,15.9
1979-04-04,15.9
1979-05-04,15.9
1979-06-04,15.7
1979-09-04,16.0
1979-10-04,15.9
1979-11-04,16.0
1979-12-04,15.7
1979-04-13,15.7
1979-04-16,15.7
1979-04-17,15.5
1979-04-18,15.8
1979-04-19,16.2
1979-04-20,16.1
1979-04-23,16.0
1979-04-24,16.2
1979-04-25,16.5
1979-04-26,16.6
1979-04-27,16.5
1979-04-30,16.5
1979-01-05,16.7
1979-02-05,16.7
1979-03-05,16.5
1979-04-05,16.6
1979-07-05,16.6
1979-08-05,16.9
1979-09-05,16.7
1979-10-05,17.1
1979-11-05,17.2
1979-05-14,17.1
1979-05-15,16.9
1979-05-16,17.1
1979-05-17,17.2
1979-05-18,17.3
1979-05-21,17.6
1979-05-22,17.8
1979-05-23,17.6
1979-05-24,17.6
1979-05-25,18.1
1979-05-28,18.1
1979-05-29,18.5
1979-05-30,18.2
1979-05-31,18.4
1979-01-06,18.4
1979-04-06,18.1
1979-05-06,18.2
1979-06-06,18.6
1979-07-06,18.6
1979-08-06,18.5
1979-11-06,18.8
1979-12-06,18.4
1979-06-13,18.1
1979-06-14,18.3
1979-06-15,18.5
1979-06-18,18.5
1979-06-19,18.3
1979-06-20,18.3
1979-06-21,18.3
1979-06-22,18.6
1979-06-25,18.6
1979-06-26,18.5
1979-06-27,18.4
1979-06-28,18.3
1979-06-29,17.9
1979-02-07,18.4
1979-03-07,18.1
1979-04-07,18.0
1979-05-07,18.2
1979-06-07,18.5
1979-09-07,19.0
1979-10-07,18.9
1979-11-07,18.8
1979-12-07,18.9
1979-07-13,18.7
1979-07-16,18.8
1979-07-17,18.9
1979-07-18,19.3
1979-07-19,19.2
1979-07-20,19.2
1979-07-23,19.3
1979-07-24,19.3
1979-07-25,19.1
1979-07-26,19.1
1979-07-27,19.4
1979-07-30,19.3
1979-07-31,19.3
1979-01-08,18.8
1979-02-08,18.9
1979-03-08,18.6
1979-06-08,18.8
1979-07-08,18.7
1979-08-08,19.0
1979-09-08,19.2
1979-10-08,19.8
1979-08-13,19.9
1979-08-14,19.2
1979-08-15,19.7
1979-08-16,19.6
1979-08-17,19.7
1979-08-20,19.7
1979-08-21,19.8
1979-08-22,20.6
1979-08-23,20.4
1979-08-24,20.6
1979-08-27,20.6
1979-08-28,20.6
1979-08-29,20.4
1979-08-30,20.8
1979-08-31,20.7
1979-03-09,20.8
1979-04-09,21.2
1979-05-09,21.5
1979-06-09,22.2
1979-07-09,21.6
1979-10-09,22.0
1979-11-09,22.1
1979-12-09,22.2
1979-09-13,22.3
1979-09-14,22.9
1979-09-17,23.5
1979-09-18,24.9
1979-09-19,25.3
1979-09-20,25.0
1979-09-21,24.9
1979-09-24,25.3
1979-09-25,25.1
1979-09-26,24.4
1979-09-27,25.3
1979-09-28,26.1
1979-01-10,26.3
1979-02-10,28.9
1979-03-10,27.7
1979-04-10,26.1
1979-05-10,24.4
1979-08-10,25.3
1979-09-10,25.2
1979-10-10,27.2
1979-11-10,26.6
1979-12-10,25.9
1979-10-15,26.9
1979-10-16,26.7
1979-10-17,26.0
1979-10-18,25.6
1979-10-19,26.0
1979-10-22,26.7
1979-10-23,26.4
1979-10-24,26.3
1979-10-25,26.4
1979-10-26,25.4
1979-10-29,25.4
1979-10-30,25.6
1979-10-31,25.7
1979-01-11,25.7
1979-02-11,25.4
1979-05-11,25.7
1979-06-11,26.1
1979-07-11,26.3
1979-08-11,26.6
1979-09-11,26.3
1979-12-11,26.3
1979-11-13,26.0
1979-11-14,25.7
1979-11-15,25.4
1979-11-16,25.1
1979-11-19,25.7
1979-11-20,25.8
1979-11-21,26.2
1979-11-22,26.1
1979-11-23,25.9
1979-11-26,25.9
1979-11-27,26.0
1979-11-28,26.6
1979-11-29,26.9
1979-11-30,27.1
1979-03-12,27.7
1979-04-12,28.8
1979-05-12,28.4
1979-06-12,28.7
1979-07-12,28.7
1979-10-12,28.8
1979-11-12,29.3
1979-12-12,29.8
1979-12-13,30.3
1979-12-14,30.4
1979-12-17,30.6
1979-12-18,31.3
1979-12-19,32.6
1979-12-20,31.6
1979-12-21,31.4
1979-12-24,31.3
1979-12-25,31.3
1979-12-26,31.3
1979-12-27,33.0
1979-12-28,33.6
1979-12-31,34.3
1980-01-01,34.3
1980-02-01,36.3
1980-03-01,41.1
1980-04-01,38.8
1980-07-01,40.8
1980-08-01,39.7
