Index Name,Date,P/E,P/B,Div Yield %
NIFTY 50,2021-01-01,38.55,3.97,1.13
NIFTY 50,2020-12-31,38.45,3.96,1.14
NIFTY 50,2020-12-30,38.45,3.96,1.14
NIFTY 50,2020-12-29,38.31,3.94,1.14
NIFTY 50,2020-12-28,38.15,3.93,1.14
NIFTY 50,2020-12-24,37.81,3.89,1.15
NIFTY 50,2020-12-23,37.4,3.85,1.17
NIFTY 50,2020-12-22,37.03,3.81,1.18
NIFTY 50,2020-12-21,36.65,3.77,1.19
NIFTY 50,2020-12-18,37.84,3.89,1.15
NIFTY 50,2020-12-17,37.79,3.89,1.16
NIFTY 50,2020-12-16,37.63,3.87,1.16
NIFTY 50,2020-12-15,37.31,3.84,1.17
NIFTY 50,2020-12-14,37.28,3.84,1.17
NIFTY 50,2020-12-11,37.16,3.82,1.18
NIFTY 50,2020-12-10,37.06,3.81,1.18
NIFTY 50,2020-12-09,37.2,3.83,1.17
NIFTY 50,2020-12-08,36.83,3.79,1.19
NIFTY 50,2020-12-07,36.73,3.78,1.19
NIFTY 50,2020-12-04,36.46,3.75,1.2
NIFTY 50,2020-12-03,36.12,3.72,1.21
NIFTY 50,2020-12-02,36.06,3.71,1.21
NIFTY 50,2020-12-01,36.05,3.71,1.21
NIFTY 50,2020-11-27,35.66,3.67,1.22
NIFTY 50,2020-11-26,35.71,3.68,1.22
NIFTY 50,2020-11-25,35.36,3.64,1.23
NIFTY 50,2020-11-24,35.9,3.7,1.22
NIFTY 50,2020-11-23,35.55,3.66,1.23
NIFTY 50,2020-11-20,35.36,3.64,1.23
NIFTY 50,2020-11-19,35.12,3.61,1.24
NIFTY 50,2020-11-18,35.59,3.66,1.23
NIFTY 50,2020-11-17,34.93,3.64,1.23
NIFTY 50,2020-11-14,34.73,3.62,1.24
NIFTY 50,2020-11-13,34.57,3.6,1.25
NIFTY 50,2020-11-12,34.48,3.59,1.25
NIFTY 50,2020-11-11,34.5,3.61,1.25
NIFTY 50,2020-11-10,34.18,3.58,1.26
NIFTY 50,2020-11-09,33.62,3.53,1.27
NIFTY 50,2020-11-06,33.09,3.47,1.29
NIFTY 50,2020-11-05,32.84,3.43,1.31
NIFTY 50,2020-11-04,32.27,3.37,1.33
NIFTY 50,2020-11-03,31.82,3.34,1.34
NIFTY 50,2020-11-02,31.43,3.3,1.36
NIFTY 50,2020-10-30,31.9,3.3,1.36
NIFTY 50,2020-10-29,31.56,3.3,1.36
NIFTY 50,2020-10-28,33.94,3.32,1.35
NIFTY 50,2020-10-27,34.49,3.37,1.34
NIFTY 50,2020-10-26,33.95,3.33,1.35
NIFTY 50,2020-10-23,34.37,3.38,1.33
NIFTY 50,2020-10-22,34.27,3.37,1.33
NIFTY 50,2020-10-21,34.4,3.38,1.33
NIFTY 50,2020-10-20,34.28,3.37,1.33
NIFTY 50,2020-10-19,34.43,3.36,1.34
NIFTY 50,2020-10-16,34.13,3.33,1.35
NIFTY 50,2020-10-15,34.03,3.31,1.36
NIFTY 50,2020-10-14,34.87,3.39,1.33
NIFTY 50,2020-10-13,34.77,3.38,1.33
NIFTY 50,2020-10-12,34.76,3.38,1.33
NIFTY 50,2020-10-09,34.71,3.37,1.33
NIFTY 50,2020-10-08,34.4,3.35,1.34
NIFTY 50,2020-10-07,34.12,3.32,1.35
NIFTY 50,2020-10-06,33.9,3.3,1.36
NIFTY 50,2020-10-05,33.43,3.26,1.38
NIFTY 50,2020-10-01,33.18,3.23,1.39
NIFTY 50,2020-09-30,32.69,3.19,1.41
NIFTY 50,2020-09-29,32.62,3.18,1.42
NIFTY 50,2020-09-28,32.63,3.18,1.41
NIFTY 50,2020-09-25,32.12,3.13,1.44
NIFTY 50,2020-09-24,30.97,3.01,1.51
