Date,Open,High,Low,Close
2022-08-12,12938.0,12953.15,12847.45,12923.75
2022-08-11,13080.2,13097.35,12859.9,12923.55
2022-08-10,12959.05,12992.7,12868.5,12951.65
2022-08-08,12821.55,12977.8,12816.4,12927.95
2022-08-05,12977.8,12981.1,12782.8,12804.35
2022-08-04,13006.7,13024.3,12754.25,12945.7
2022-08-03,13036.8,13036.8,12767.75,12919.4
2022-08-02,12921.95,13048.55,12817.05,13023.65
2022-08-01,12645.65,12974.35,12627.95,12953.65
2022-07-29,12482.55,12687.6,12474.15,12543.2
2022-07-28,12357.55,12417.6,12238.7,12383.7
2022-07-27,12289.0,12342.55,12204.65,12326.35
2022-07-26,12418.3,12429.35,12262.05,12276.5
2022-07-25,12639.35,12648.45,12369.1,12423.7
2022-07-22,12623.35,12690.0,12596.45,12634.2
2022-07-21,12528.7,12612.4,12501.9,12581.35
2022-07-20,12621.7,12660.7,12484.6,12511.3
2022-07-19,12373.55,12553.6,12364.65,12538.9
2022-07-18,12435.5,12455.85,12391.0,12408.7
2022-07-15,12139.95,12377.65,12135.65,12361.65
2022-07-14,12098.55,12184.05,12025.25,12115.3
2022-07-13,12154.05,12189.35,12080.15,12099.35
2022-07-12,12218.5,12220.2,12082.9,12107.35
2022-07-11,12074.65,12266.3,12040.5,12252.5
2022-07-08,12274.35,12303.8,12069.5,12124.6
2022-07-07,12056.6,12132.4,12039.2,12114.1
2022-07-06,11676.45,11974.75,11671.65,11952.2
2022-07-05,11750.25,11791.4,11632.05,11649.8
2022-07-04,11690.8,11733.4,11591.45,11692.1
2022-07-01,11649.95,11737.0,11530.35,11711.95
2022-06-30,11812.05,11911.35,11671.8,11701.15
2022-06-29,11736.3,11865.25,11715.95,11850.5
2022-06-28,11644.4,11852.05,11608.45,11832.55
2022-06-27,11747.95,11780.15,11659.7,11686.05
2022-06-24,11441.2,11596.7,11407.75,11583.25
2022-06-23,10940.35,11386.9,10933.95,11359.5
2022-06-22,10948.7,10987.8,10825.75,10881.4
2022-06-21,10818.45,10994.0,10786.8,10974.2
2022-06-20,10845.75,10882.15,10684.65,10754.7
2022-06-17,10902.45,10947.25,10762.45,10830.9
2022-06-16,11322.3,11338.85,10939.7,10956.6
2022-06-15,11158.8,11250.45,11153.95,11206.75
2022-06-14,11093.45,11258.85,11049.05,11104.15
2022-06-13,11215.4,11261.2,11132.05,11165.65
2022-06-10,11324.65,11421.8,11318.5,11394.0
2022-06-09,11320.9,11438.75,11294.3,11419.25
2022-06-08,11421.6,11450.0,11270.65,11382.35
2022-06-07,11228.85,11383.3,11153.4,11362.2
2022-06-06,11245.4,11352.95,11175.25,11303.15
2022-06-03,11562.5,11592.9,11258.1,11282.15
2022-06-02,11543.5,11557.4,11416.25,11491.4
2022-06-01,11608.7,11675.5,11490.55,11563.0
2022-05-31,11512.4,11682.3,11494.7,11586.6
2022-05-30,11386.3,11543.15,11380.25,11491.4
2022-05-27,11205.7,11300.7,11141.1,11270.25
2022-05-26,11057.8,11122.55,10852.45,11097.15
2022-05-25,11174.9,11196.4,10975.8,11011.5
2022-05-24,11166.65,11197.5,11062.8,11116.3
2022-05-23,11057.7,11229.9,11057.55,11115.2
2022-05-20,10816.75,10970.25,10780.45,10914.6
2022-05-19,10680.25,10800.85,10597.55,10618.0
2022-05-18,10917.2,11015.2,10878.7,10909.45
2022-05-17,10677.5,10928.0,10677.0,10911.15
2022-05-16,10506.6,10672.65,10475.75,10649.1
2022-05-13,10300.25,10610.85,10280.35,10412.35
2022-05-12,10268.05,10293.1,10092.6,10164.35
2022-05-11,10486.7,10541.5,10233.4,10377.4
2022-05-10,10459.8,10635.2,10436.2,10472.45
2022-05-09,10426.55,10551.0,10312.65,10483.5
2022-05-06,10554.75,10604.05,10473.15,10518.45
2022-05-05,10765.95,10885.85,10684.35,10705.7
2022-05-04,10942.25,11023.45,10617.9,10661.0
2022-05-02,11015.6,11038.05,10897.05,10938.3
2022-04-29,11236.15,11275.65,11034.75,11078.1
2022-04-28,11290.55,11290.55,11128.85,11192.05
2022-04-27,11118.7,11200.7,11063.1,11158.85
2022-04-26,11027.55,11229.25,11018.4,11221.75
2022-04-25,10918.15,11063.85,10864.4,10916.5
2022-04-22,10990.35,11118.25,10899.75,11028.15
2022-04-21,10892.9,11104.6,10890.75,11090.55
2022-04-20,10686.1,10885.65,10668.5,10848.7
2022-04-19,10795.95,10877.05,10519.05,10615.15
2022-04-18,10637.85,10761.95,10566.45,10745.75
2022-04-13,10819.1,10874.2,10676.9,10698.3
2022-04-12,10837.8,10850.3,10694.35,10788.8
2022-04-11,10928.4,10928.4,10847.3,10882.1
2022-04-08,10838.8,10921.9,10792.45,10894.3
2022-04-07,10869.3,10926.4,10804.5,10820.7
2022-04-06,10915.4,10942.35,10830.1,10906.8
2022-04-05,10850.65,10988.45,10837.9,10936.5
2022-04-04,10688.75,10812.9,10641.8,10803.85
2022-04-01,10522.2,10692.8,10471.75,10676.85
2022-03-31,10566.3,10618.4,10528.65,10552.1
2022-03-30,10519.0,10604.95,10491.45,10542.15
2022-03-29,10468.55,10523.0,10387.2,10416.25
2022-03-28,10360.25,10437.4,10300.15,10421.6
2022-03-25,10453.2,10461.5,10300.6,10354.15
2022-03-24,10397.25,10502.95,10353.2,10412.4
2022-03-23,10625.8,10659.15,10435.7,10463.45
2022-03-22,10453.05,10586.25,10302.65,10572.9
2022-03-21,10639.25,10673.4,10423.8,10448.4
2022-03-17,10469.55,10590.5,10443.0,10576.0
2022-03-16,10300.6,10372.45,10233.5,10350.1
