Index Name,Date,Open,High,Low,Close
NIFTY AUTO,2021-01-01,9214.9,9300.4,9214.2,9272.5
NIFTY AUTO,2020-12-31,9174.45,9216.65,9155.6,9193.5
NIFTY AUTO,2020-12-30,9077.15,9189.95,9001.4,9164.8
NIFTY AUTO,2020-12-29,9109.95,9128.85,8997.3,9043.9
NIFTY AUTO,2020-12-28,9035.85,9102.7,9029.35,9066.85
NIFTY AUTO,2020-12-24,8966.45,9052.7,8937.45,8978.05
NIFTY AUTO,2020-12-23,8825.7,8955.75,8786.45,8935.95
NIFTY AUTO,2020-12-22,8754.4,8854.4,8540.95,8818.6
NIFTY AUTO,2020-12-21,9128.35,9132.65,8560.2,8745.0
NIFTY AUTO,2020-12-18,9180.25,9200.85,9091.8,9168.65
NIFTY AUTO,2020-12-17,9265.7,9288.0,9146.4,9185.2
NIFTY AUTO,2020-12-16,9239.45,9290.95,9207.4,9239.1
NIFTY AUTO,2020-12-15,9078.25,9168.7,9052.05,9149.75
NIFTY AUTO,2020-12-14,9248.65,9251.3,9074.9,9093.1
NIFTY AUTO,2020-12-11,9234.85,9274.55,9133.65,9188.95
NIFTY AUTO,2020-12-10,9286.55,9332.7,9173.25,9200.85
NIFTY AUTO,2020-12-09,9331.7,9345.05,9283.15,9293.3
NIFTY AUTO,2020-12-08,9330.45,9456.65,9235.75,9297.85
NIFTY AUTO,2020-12-07,9313.05,9339.9,9260.6,9311.1
NIFTY AUTO,2020-12-04,9290.65,9408.75,9207.5,9302.2
NIFTY AUTO,2020-12-03,9150.7,9256.9,9123.25,9245.3
NIFTY AUTO,2020-12-02,9010.5,9103.9,8985.95,9093.7
NIFTY AUTO,2020-12-01,8999.75,8999.75,8855.05,8987.15
NIFTY AUTO,2020-11-27,8829.05,8972.55,8808.35,8891.6
NIFTY AUTO,2020-11-26,8757.6,8823.7,8682.0,8767.75
NIFTY AUTO,2020-11-25,8951.55,8961.1,8708.75,8738.45
NIFTY AUTO,2020-11-24,8776.65,8942.15,8767.65,8887.95
NIFTY AUTO,2020-11-23,8744.35,8767.8,8651.1,8738.6
NIFTY AUTO,2020-11-20,8661.8,8712.15,8572.1,8684.75
NIFTY AUTO,2020-11-19,8646.85,8807.6,8594.75,8628.3
NIFTY AUTO,2020-11-18,8426.6,8716.25,8421.3,8686.6
NIFTY AUTO,2020-11-17,8389.3,8437.45,8339.35,8425.55
NIFTY AUTO,2020-11-14,8375.15,8376.6,8314.15,8344.75
NIFTY AUTO,2020-11-13,8282.75,8347.6,8251.8,8308.9
NIFTY AUTO,2020-11-12,8256.35,8352.1,8234.75,8284.05
NIFTY AUTO,2020-11-11,8171.95,8300.65,8143.0,8255.2
NIFTY AUTO,2020-11-10,8153.6,8153.95,8045.9,8127.25
NIFTY AUTO,2020-11-09,8075.2,8085.75,7992.05,8067.65
NIFTY AUTO,2020-11-06,8009.5,8096.7,7973.6,8006.1
NIFTY AUTO,2020-11-05,7974.4,8005.9,7918.6,7995.5
NIFTY AUTO,2020-11-04,7852.45,7946.45,7827.25,7901.75
NIFTY AUTO,2020-11-03,7789.55,7885.85,7756.15,7848.85
NIFTY AUTO,2020-11-02,7821.8,7840.1,7686.85,7732.25
