Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,30196.150391,30409.0,30028.900391,30330.550781,30330.199219,0.0
2019-11-04,30415.900391,30607.050781,30227.25,30333.099609,30332.746094,0.0
2019-11-05,30403.25,30452.699219,30091.349609,30219.849609,30219.498047,0.0
2019-11-06,30225.199219,30699.0,30013.650391,30609.599609,30609.244141,0.0
2019-11-07,30722.599609,30821.349609,30462.550781,30633.150391,30632.794922,364800.0
2019-11-08,30571.300781,31108.400391,30504.050781,30749.400391,30749.042969,0.0
2019-11-11,30664.650391,31205.199219,30625.800781,31115.550781,31115.189453,0.0
2019-11-13,31084.75,31198.5,30488.099609,30541.550781,30541.195313,0.0
2019-11-14,30615.800781,30789.199219,30338.349609,30749.949219,30749.591797,0.0
2019-11-15,30912.400391,31165.449219,30860.699219,31008.400391,31008.039063,0.0
2019-11-18,31036.800781,31203.550781,30901.849609,30992.099609,30991.740234,0.0
2019-11-19,31045.150391,31298.050781,30974.300781,31236.25,31235.886719,0.0
2019-11-20,31292.349609,31471.650391,31205.550781,31353.849609,31353.484375,0.0
2019-11-21,31413.25,31463.150391,31243.0,31349.949219,31349.583984,0.0
2019-11-22,31389.599609,31394.199219,31055.199219,31111.599609,31111.238281,0.0
2019-11-25,31065.099609,31591.599609,31049.75,31555.900391,31555.533203,0.0
2019-11-26,31692.849609,31850.349609,31465.849609,31718.349609,31717.980469,0.0
2019-11-27,31832.75,31916.800781,31734.5,31875.949219,31875.578125,0.0
2019-11-28,31981.699219,32157.050781,31905.900391,32122.949219,32122.576172,498300.0
2019-11-29,32074.150391,32086.949219,31770.800781,31946.099609,31945.728516,0.0
2019-12-02,32008.300781,32024.099609,31720.599609,31871.449219,31871.078125,0.0
2019-12-03,31920.099609,31936.599609,31502.949219,31613.349609,31612.982422,0.0
2019-12-04,31549.300781,32017.75,31444.0,31979.300781,31978.929688,516800.0
2019-12-05,32083.800781,32126.949219,31628.300781,31712.949219,31712.580078,393300.0
2019-12-06,31797.150391,31883.699219,31250.650391,31341.550781,31341.185547,485400.0
2019-12-09,31321.400391,31537.650391,31122.050781,31316.650391,31316.287109,494500.0
2019-12-10,31386.400391,31412.800781,31126.0,31160.349609,31159.988281,505400.0
2019-12-11,31151.650391,31337.849609,30996.400391,31256.75,31256.386719,815400.0
2019-12-12,31356.800781,31711.449219,31352.099609,31665.449219,31665.082031,529700.0
2019-12-13,31775.550781,32105.050781,31770.5,32014.25,32013.876953,390500.0
2019-12-16,32159.0,32186.949219,31897.75,31974.199219,31973.828125,306000.0
2019-12-17,32082.400391,32213.349609,31987.349609,32140.25,32139.876953,259900.0
2019-12-18,32292.25,32293.650391,32017.300781,32244.25,32243.875,258800.0
2019-12-19,32281.650391,32328.349609,32085.050781,32241.449219,32241.074219,436900.0
2019-12-20,32266.849609,32443.349609,32199.449219,32384.949219,32384.572266,535200.0
2019-12-23,32381.0,32502.800781,32196.849609,32339.449219,32339.074219,391500.0
2019-12-24,32337.800781,32390.349609,32246.050781,32280.75,32280.375,330800.0
2019-12-26,32276.150391,32314.599609,31963.25,31997.699219,31997.328125,339800.0
2019-12-27,32142.5,32444.849609,32056.25,32412.349609,32411.972656,332400.0
2019-12-30,32486.599609,32613.099609,32248.5,32354.900391,32354.523438,0.0
2019-12-31,32345.949219,32345.949219,32108.75,32161.650391,32161.277344,251400.0
2020-01-01,,,,,,
2020-01-02,32133.150391,32465.449219,32121.400391,32443.849609,32443.472656,253600.0
2020-01-03,32326.949219,32329.800781,31960.400391,32069.25,32068.876953,217600.0
2020-01-06,31910.449219,31914.449219,31170.550781,31237.150391,31236.787109,256200.0
2020-01-07,31598.050781,31851.449219,31200.900391,31399.400391,31399.035156,294400.0
2020-01-08,30995.5,31451.849609,30899.550781,31373.650391,31373.285156,304500.0
2020-01-09,31748.25,32172.699219,31667.150391,32092.400391,32092.027344,308000.0
2020-01-10,32215.699219,32347.199219,31953.400391,32097.400391,32097.027344,444700.0
2020-01-13,32139.099609,32322.650391,32074.050781,32177.650391,32177.277344,291400.0
2020-01-14,32196.449219,32196.449219,31989.199219,32071.650391,32071.277344,438900.0
2020-01-15,31994.75,32000.900391,31670.349609,31824.900391,31824.53125,545700.0
2020-01-16,31810.550781,31988.900391,31692.400391,31853.900391,31853.529297,253700.0
2020-01-17,31571.650391,31773.550781,31445.5,31590.650391,31590.283203,308100.0
2020-01-20,31923.949219,31923.949219,31050.949219,31080.650391,31080.289063,282200.0
2020-01-21,30978.849609,31171.25,30858.599609,30947.550781,30947.191406,227500.0
2020-01-22,31061.599609,31149.050781,30614.0,30701.449219,30701.091797,200600.0
2020-01-23,30742.199219,31087.25,30621.349609,31004.050781,31003.689453,343800.0
2020-01-24,31040.099609,31375.449219,30879.050781,31241.75,31241.386719,424600.0
2020-01-27,31110.550781,31227.050781,30808.550781,30837.400391,30837.041016,309900.0
2020-01-28,30922.0,31048.449219,30656.349609,30761.400391,30761.042969,239600.0
2020-01-29,30915.099609,31082.849609,30835.800781,30877.0,30876.640625,268800.0
2020-01-30,30889.25,30909.5,30521.300781,30647.400391,30647.044922,328900.0
2020-01-31,30950.5,31033.449219,30691.800781,30833.599609,30833.242188,333400.0
2020-02-03,29811.75,30105.800781,29612.550781,30023.25,30022.900391,337100.0
2020-02-04,30235.300781,30776.949219,30182.449219,30686.699219,30686.341797,336600.0
2020-02-05,30761.949219,31065.849609,30630.849609,31001.949219,31001.589844,427600.0
2020-02-06,31070.75,31470.650391,30917.25,31304.050781,31303.6875,334000.0
2020-02-07,31367.050781,31368.199219,31111.050781,31201.949219,31201.585938,254400.0
2020-02-10,31248.650391,31248.800781,30957.199219,31058.150391,31057.789063,239700.0
2020-02-11,31230.199219,31505.949219,31225.900391,31300.599609,31300.236328,198900.0
2020-02-12,31441.150391,31588.599609,31398.150391,31492.900391,31492.535156,226000.0
2020-02-13,31586.550781,31649.449219,31180.599609,31230.25,31229.886719,303000.0
2020-02-14,31281.849609,31436.650391,30776.099609,30834.800781,30834.443359,341400.0
2020-02-17,30873.849609,30998.150391,30630.5,30680.699219,30680.341797,0.0
2020-02-18,30661.5,30692.75,30252.449219,30562.5,30562.144531,398900.0
2020-02-19,30905.0,30947.150391,30606.150391,30838.199219,30837.839844,268800.0
2020-02-20,30862.300781,31085.300781,30702.449219,30942.849609,30942.490234,273100.0
2020-02-24,30666.349609,30702.150391,30428.0,30455.099609,30454.746094,254200.0
2020-02-25,30517.0,30610.699219,30329.949219,30432.699219,30432.345703,215900.0
2020-02-26,30279.949219,30515.349609,30131.75,30306.849609,30306.498047,291000.0
2020-02-27,30270.0,30271.949219,29914.150391,30187.0,30186.648438,358000.0
2020-02-28,29501.550781,29564.099609,29051.5,29147.150391,29146.8125,386900.0
