Index Name,Date,Open,High,Low,Close
NIFTY FINANCIAL SERVICES EX-BANK,2021-01-01,-,-,-,14802.91
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-31,-,-,-,14720.11
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-30,-,-,-,14682.42
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-29,-,-,-,14606.72
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-28,-,-,-,14566.87
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-24,-,-,-,14383.22
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-23,-,-,-,14181.0
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-22,-,-,-,13995.59
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-21,-,-,-,13968.6
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-18,-,-,-,14501.86
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-17,-,-,-,14575.33
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-16,-,-,-,14415.34
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-15,-,-,-,14243.8
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-14,-,-,-,13999.25
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-11,-,-,-,13937.2
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-10,-,-,-,13894.52
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-09,-,-,-,13979.95
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-08,-,-,-,13928.57
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-07,-,-,-,13934.57
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-04,-,-,-,13783.82
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-03,-,-,-,13828.31
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-02,-,-,-,13740.98
NIFTY FINANCIAL SERVICES EX-BANK,2020-12-01,-,-,-,13754.97
NIFTY FINANCIAL SERVICES EX-BANK,2020-11-27,-,-,-,13696.84
NIFTY FINANCIAL SERVICES EX-BANK,2020-11-26,-,-,-,13570.57
NIFTY FINANCIAL SERVICES EX-BANK,2020-11-25,-,-,-,13338.13
NIFTY FINANCIAL SERVICES EX-BANK,2020-11-24,-,-,-,13456.84
NIFTY FINANCIAL SERVICES EX-BANK,2020-11-23,-,-,-,13434.58
NIFTY FINANCIAL SERVICES EX-BANK,2020-11-20,-,-,-,13433.07
NIFTY FINANCIAL SERVICES EX-BANK,2020-11-19,-,-,-,13165.25
