Index Name,Date,Open,High,Low,Close
NIFTY INDIA MANUFACTURING,2021-01-01,-,-,-,5891.35
NIFTY INDIA MANUFACTURING,2020-12-31,-,-,-,5845.84
NIFTY INDIA MANUFACTURING,2020-12-30,-,-,-,5812.17
NIFTY INDIA MANUFACTURING,2020-12-29,-,-,-,5786.54
NIFTY INDIA MANUFACTURING,2020-12-28,-,-,-,5797.15
NIFTY INDIA MANUFACTURING,2020-12-24,-,-,-,5755.93
NIFTY INDIA MANUFACTURING,2020-12-23,-,-,-,5717.86
NIFTY INDIA MANUFACTURING,2020-12-22,-,-,-,5624.11
NIFTY INDIA MANUFACTURING,2020-12-21,-,-,-,5570.7
NIFTY INDIA MANUFACTURING,2020-12-18,-,-,-,5814.52
NIFTY INDIA MANUFACTURING,2020-12-17,-,-,-,5779.0
NIFTY INDIA MANUFACTURING,2020-12-16,-,-,-,5779.45
NIFTY INDIA MANUFACTURING,2020-12-15,-,-,-,5715.62
NIFTY INDIA MANUFACTURING,2020-12-14,-,-,-,5708.66
NIFTY INDIA MANUFACTURING,2020-12-11,-,-,-,5686.58
NIFTY INDIA MANUFACTURING,2020-12-10,-,-,-,5690.68
NIFTY INDIA MANUFACTURING,2020-12-09,-,-,-,5728.6
NIFTY INDIA MANUFACTURING,2020-12-08,-,-,-,5695.97
NIFTY INDIA MANUFACTURING,2020-12-07,-,-,-,5726.03
NIFTY INDIA MANUFACTURING,2020-12-04,-,-,-,5693.1
NIFTY INDIA MANUFACTURING,2020-12-03,-,-,-,5650.68
NIFTY INDIA MANUFACTURING,2020-12-02,-,-,-,5590.23
NIFTY INDIA MANUFACTURING,2020-12-01,-,-,-,5526.48
NIFTY INDIA MANUFACTURING,2020-11-27,-,-,-,5461.07
NIFTY INDIA MANUFACTURING,2020-11-26,-,-,-,5425.75
NIFTY INDIA MANUFACTURING,2020-11-25,-,-,-,5356.49
NIFTY INDIA MANUFACTURING,2020-11-24,-,-,-,5443.61
NIFTY INDIA MANUFACTURING,2020-11-23,-,-,-,5381.39
NIFTY INDIA MANUFACTURING,2020-11-20,-,-,-,5327.17
NIFTY INDIA MANUFACTURING,2020-11-19,-,-,-,5308.87
NIFTY INDIA MANUFACTURING,2020-11-18,-,-,-,5316.7
NIFTY INDIA MANUFACTURING,2020-11-17,-,-,-,5277.36
NIFTY INDIA MANUFACTURING,2020-11-14,-,-,-,5245.58
NIFTY INDIA MANUFACTURING,2020-11-13,-,-,-,5216.54
NIFTY INDIA MANUFACTURING,2020-11-12,-,-,-,5182.33
NIFTY INDIA MANUFACTURING,2020-11-11,-,-,-,5160.55
NIFTY INDIA MANUFACTURING,2020-11-10,-,-,-,5095.39
NIFTY INDIA MANUFACTURING,2020-11-09,-,-,-,5130.05
NIFTY INDIA MANUFACTURING,2020-11-06,-,-,-,5078.2
NIFTY INDIA MANUFACTURING,2020-11-05,-,-,-,5062.18
NIFTY INDIA MANUFACTURING,2020-11-04,-,-,-,4958.09
NIFTY INDIA MANUFACTURING,2020-11-03,-,-,-,4907.74
NIFTY INDIA MANUFACTURING,2020-11-02,-,-,-,4858.36
NIFTY INDIA MANUFACTURING,2020-10-30,-,-,-,4897.03
NIFTY INDIA MANUFACTURING,2020-10-29,-,-,-,4895.43
NIFTY INDIA MANUFACTURING,2020-10-28,-,-,-,4914.36
NIFTY INDIA MANUFACTURING,2020-10-27,-,-,-,4952.14
NIFTY INDIA MANUFACTURING,2020-10-26,-,-,-,4904.01
NIFTY INDIA MANUFACTURING,2020-10-23,-,-,-,5010.15
NIFTY INDIA MANUFACTURING,2020-10-22,-,-,-,4971.73
NIFTY INDIA MANUFACTURING,2020-10-21,-,-,-,4966.84
NIFTY INDIA MANUFACTURING,2020-10-20,-,-,-,4954.3
NIFTY INDIA MANUFACTURING,2020-10-19,-,-,-,4953.14
NIFTY INDIA MANUFACTURING,2020-10-16,-,-,-,4970.07
NIFTY INDIA MANUFACTURING,2020-10-15,-,-,-,4915.06
NIFTY INDIA MANUFACTURING,2020-10-14,-,-,-,4978.47
NIFTY INDIA MANUFACTURING,2020-10-13,-,-,-,4988.93
NIFTY INDIA MANUFACTURING,2020-10-12,-,-,-,5016.09
NIFTY INDIA MANUFACTURING,2020-10-09,-,-,-,5016.95
NIFTY INDIA MANUFACTURING,2020-10-08,-,-,-,5045.55
NIFTY INDIA MANUFACTURING,2020-10-07,-,-,-,5020.14
