Date,Open,High,Low,Close
2022-08-12,30184.95,30195.0,29819.15,29885.9
2022-08-11,30164.2,30388.9,30073.95,30233.7
2022-08-10,30013.45,30013.45,29456.8,29701.15
2022-08-08,29999.15,30036.75,29694.15,29967.7
2022-08-05,29891.85,30080.2,29799.2,29973.55
2022-08-04,29694.05,29972.35,29278.15,29782.9
2022-08-03,29002.3,29453.35,28929.9,29416.95
2022-08-02,29131.1,29153.05,28871.2,29024.65
2022-08-01,29376.65,29376.65,28928.95,29220.0
2022-07-29,28983.25,29355.0,28909.15,29152.3
2022-07-28,28225.1,28703.4,28170.45,28663.05
2022-07-27,27420.65,27908.25,27339.95,27878.8
2022-07-26,28157.5,28157.5,27383.95,27418.85
2022-07-25,28006.65,28320.85,27890.65,28216.0
2022-07-22,28429.55,28549.25,27862.05,28168.15
2022-07-21,28116.55,28369.95,27848.75,28342.9
2022-07-20,27701.05,28175.5,27631.4,28146.35
2022-07-19,27071.8,27399.5,27065.8,27346.1
2022-07-18,26801.75,27376.2,26785.8,27322.95
2022-07-15,26664.3,26734.0,26189.4,26484.7
2022-07-14,27155.0,27162.9,26298.0,26523.3
2022-07-13,27228.95,27247.45,26872.75,26949.75
2022-07-12,27248.2,27504.4,27022.85,27063.75
2022-07-11,27855.75,27941.2,27195.65,27380.55
2022-07-08,28450.55,28459.55,28095.35,28250.3
2022-07-07,28217.8,28459.25,28077.05,28196.35
2022-07-06,27778.65,28148.9,27628.55,28007.6
2022-07-05,28020.3,28233.05,27642.6,27695.15
2022-07-04,28084.25,28174.4,27643.65,27890.65
2022-07-01,27718.8,28151.0,27524.3,28064.25
2022-06-30,28131.95,28325.65,27775.75,27843.35
2022-06-29,28105.7,28446.45,28046.75,28140.1
2022-06-28,28218.5,28602.05,27983.6,28509.1
2022-06-27,28293.2,28588.7,28251.4,28345.95
2022-06-24,28261.0,28361.2,27631.45,27777.8
2022-06-23,27532.75,28100.05,27532.75,28027.8
2022-06-22,27656.3,27824.05,27426.05,27488.35
2022-06-21,27202.9,27895.0,27137.9,27810.6
2022-06-20,26819.45,27112.65,26544.8,26966.2
2022-06-17,26866.6,26993.55,26399.75,26732.45
2022-06-16,28191.85,28224.5,27067.45,27136.45
2022-06-15,28017.95,28131.15,27786.65,27812.45
2022-06-14,27626.2,28249.6,27502.05,27953.35
2022-06-13,28419.85,28443.85,27792.1,27914.6
2022-06-10,29299.5,29350.6,29022.75,29114.3
2022-06-09,29254.4,29802.8,29062.2,29761.55
2022-06-08,29519.65,29588.4,29155.6,29472.15
2022-06-07,29593.45,29650.55,29243.9,29351.7
2022-06-06,29750.7,29972.85,29281.45,29819.8
2022-06-03,30169.95,30559.0,29858.15,29903.8
2022-06-02,29249.8,29875.35,29197.9,29792.35
2022-06-01,29822.15,29829.75,29148.55,29260.75
2022-05-31,29609.1,29807.35,29294.35,29679.05
2022-05-30,29084.1,29837.65,29069.0,29753.3
2022-05-27,28302.3,28728.3,28210.8,28641.6
2022-05-26,27729.15,28040.25,27516.4,27932.55
2022-05-25,28470.9,28479.35,27423.8,27566.1
2022-05-24,29123.6,29141.55,28425.4,28531.5
2022-05-23,28861.35,29308.25,28604.7,29079.3
2022-05-20,28884.75,28897.45,28577.65,28789.4
2022-05-19,29448.45,29495.15,28193.6,28352.15
2022-05-18,30367.5,30823.15,30045.65,30077.7
2022-05-17,29503.3,30313.9,29339.65,30218.7
2022-05-16,29680.65,29875.25,29278.35,29403.5
2022-05-13,30062.8,30115.05,29539.05,29624.85
2022-05-12,29744.5,30184.35,29497.25,29756.85
2022-05-11,30425.55,30548.55,29669.25,30050.2
2022-05-10,30635.0,30785.95,30343.1,30427.2
2022-05-09,30490.95,30934.45,30019.8,30733.3
2022-05-06,30803.75,30881.1,30278.85,30719.45
2022-05-05,31215.7,31470.15,31117.5,31432.45
2022-05-04,31260.4,31452.8,30663.4,30794.6
2022-05-02,31377.35,31409.65,30940.65,31138.8
2022-04-29,32135.9,32212.9,31541.35,31622.4
2022-04-28,31858.5,32156.3,31468.15,31914.35
2022-04-27,31689.85,31689.85,31276.15,31594.35
2022-04-26,32088.95,32141.45,31683.2,31840.05
2022-04-25,32103.2,32130.45,31637.45,31744.0
2022-04-22,32287.85,32748.85,32186.4,32426.7
2022-04-21,32399.6,32700.0,32145.3,32611.6
2022-04-20,32030.75,32306.35,31718.15,32173.35
2022-04-19,33108.65,33108.65,31569.35,31804.2
2022-04-18,33174.55,33366.15,32600.9,32780.05
2022-04-13,34553.1,34591.0,34231.8,34354.75
2022-04-12,34683.85,34747.75,34204.1,34379.5
2022-04-11,35429.65,35443.8,34832.85,34895.9
2022-04-08,35599.3,35679.3,35219.65,35394.45
2022-04-07,35744.65,35817.45,35379.2,35423.2
2022-04-06,36371.0,36371.9,35781.5,35871.5
2022-04-05,36534.95,36813.1,36423.5,36466.55
2022-04-04,36347.55,36526.75,36130.35,36442.9
2022-04-01,36228.25,36424.6,36039.65,36343.4
2022-03-31,36517.95,36663.2,36164.9,36317.2
2022-03-30,36493.1,36519.75,36244.45,36463.55
2022-03-29,36075.45,36256.3,35982.95,36146.75
2022-03-28,36108.5,36207.75,35669.6,36026.05
2022-03-25,36630.2,36710.5,35914.8,36152.3
2022-03-24,35872.55,36597.8,35853.1,36516.75
2022-03-23,36251.85,36362.95,35883.1,36082.0
2022-03-22,35425.95,36119.85,35309.55,36070.45
2022-03-21,35829.2,36135.5,35299.1,35377.7
2022-03-17,36245.05,36246.45,35466.2,35643.6
2022-03-16,35601.35,35787.95,35369.7,35729.65
2022-03-15,36131.45,36131.45,34996.55,35097.85
2022-03-14,35347.95,36071.4,35347.95,36028.0
2022-03-11,35203.8,35478.35,35148.1,35348.7
2022-03-10,35931.15,35931.15,35265.5,35399.1
2022-03-09,35218.15,35726.25,35154.2,35440.55
2022-03-08,33977.9,35162.95,33977.9,35055.55
2022-03-07,33524.6,34435.6,33499.35,34135.9
2022-03-04,33720.65,34504.85,33462.2,34177.7
2022-03-03,34032.2,34410.7,33887.55,34130.3
2022-03-02,33748.4,33924.75,33484.6,33720.0
2022-02-28,33180.35,33961.05,32858.75,33847.85
2022-02-25,33214.35,33678.0,33058.8,33476.95
2022-02-24,33077.65,33396.25,32438.25,32547.9
2022-02-23,34385.1,34430.95,34042.7,34114.3
2022-02-22,33678.35,34287.2,33600.45,34129.55
2022-02-21,34372.0,34692.35,33989.3,34472.0
2022-02-18,34359.95,34727.1,34295.7,34483.05
2022-02-17,35022.85,35052.35,34564.2,34634.1
2022-02-16,35103.2,35209.7,34712.3,34801.9
2022-02-15,34268.3,35017.1,34081.05,34913.3
2022-02-14,33857.4,34466.65,33666.25,33880.65
2022-02-11,34889.45,34917.85,34313.25,34379.05
2022-02-10,35255.95,35379.85,34994.75,35341.85
2022-02-09,34741.85,35052.65,34707.65,34983.3
2022-02-08,34687.85,34862.1,34189.65,34521.55
2022-02-07,34898.0,35148.0,34372.95,34621.2
2022-02-04,34982.7,35194.6,34539.9,35080.1
2022-02-03,35656.85,35693.4,34962.45,35056.8
2022-02-02,35556.5,35845.3,35278.55,35788.75
2022-02-01,35337.95,35435.5,34754.35,35371.65
2022-01-31,34519.3,34972.25,34440.3,34824.55
2022-01-28,33608.45,34473.5,33608.45,33851.95
2022-01-27,34338.1,34362.85,33251.7,33475.05
2022-01-25,34490.35,35065.8,33956.55,34707.45
2022-01-24,35934.2,35969.85,34563.2,34821.6
2022-01-21,36354.3,36579.65,35836.65,36054.55
2022-01-20,37175.0,37249.05,36512.5,36662.2
2022-01-19,38011.9,38011.9,37236.15,37281.7
2022-01-18,38830.15,38990.55,38004.25,38091.75
2022-01-17,38764.65,38993.25,38486.35,38804.95
2022-01-14,38351.35,38892.65,38049.6,38826.85
2022-01-13,38768.85,38886.85,38151.05,38607.0
2022-01-12,38857.75,38902.8,38424.75,38604.75
2022-01-11,38186.95,38664.4,38138.0,38605.4
2022-01-10,38596.75,38621.9,37991.3,38212.2
2022-01-07,38140.15,38394.8,38003.15,38139.85
2022-01-06,38181.35,38206.6,37757.2,38009.0
2022-01-05,39261.55,39293.15,38409.25,38609.15
2022-01-04,39243.5,39446.7,38828.6,39370.7
2022-01-03,38752.6,39286.35,38752.55,39123.8
2021-12-31,38708.15,38861.1,38468.4,38701.0
2021-12-30,38231.15,38897.6,38153.35,38658.8
2021-12-29,38269.1,38484.9,38181.9,38274.65
2021-12-28,38184.6,38500.25,38164.45,38357.8
2021-12-27,37722.9,38029.3,37431.0,37988.5
