Index Name,Date,Open,High,Low,Close
NIFTY OIL & GAS,2021-01-01,-,-,-,5542.87
NIFTY OIL & GAS,2020-12-31,-,-,-,5524.05
NIFTY OIL & GAS,2020-12-30,-,-,-,5542.5
NIFTY OIL & GAS,2020-12-29,-,-,-,5535.17
NIFTY OIL & GAS,2020-12-28,-,-,-,5538.03
NIFTY OIL & GAS,2020-12-24,-,-,-,5484.13
NIFTY OIL & GAS,2020-12-23,-,-,-,5394.47
NIFTY OIL & GAS,2020-12-22,-,-,-,5367.29
NIFTY OIL & GAS,2020-12-21,-,-,-,5301.39
NIFTY OIL & GAS,2020-12-18,-,-,-,5607.17
NIFTY OIL & GAS,2020-12-17,-,-,-,5639.36
NIFTY OIL & GAS,2020-12-16,-,-,-,5678.06
NIFTY OIL & GAS,2020-12-15,-,-,-,5652.26
NIFTY OIL & GAS,2020-12-14,-,-,-,5704.83
NIFTY OIL & GAS,2020-12-11,-,-,-,5617.22
NIFTY OIL & GAS,2020-12-10,-,-,-,5537.88
NIFTY OIL & GAS,2020-12-09,-,-,-,5576.84
NIFTY OIL & GAS,2020-12-08,-,-,-,5523.29
NIFTY OIL & GAS,2020-12-07,-,-,-,5522.51
NIFTY OIL & GAS,2020-12-04,-,-,-,5463.15
NIFTY OIL & GAS,2020-12-03,-,-,-,5463.37
NIFTY OIL & GAS,2020-12-02,-,-,-,5398.23
NIFTY OIL & GAS,2020-12-01,-,-,-,5317.4
NIFTY OIL & GAS,2020-11-27,-,-,-,5217.53
NIFTY OIL & GAS,2020-11-26,-,-,-,5194.55
NIFTY OIL & GAS,2020-11-25,-,-,-,5204.29
NIFTY OIL & GAS,2020-11-24,-,-,-,5206.42
NIFTY OIL & GAS,2020-11-23,-,-,-,5190.67
NIFTY OIL & GAS,2020-11-20,-,-,-,5072.94
NIFTY OIL & GAS,2020-11-19,-,-,-,5092.66
NIFTY OIL & GAS,2020-11-18,-,-,-,5123.79
NIFTY OIL & GAS,2020-11-17,-,-,-,5101.72
NIFTY OIL & GAS,2020-11-14,-,-,-,5117.64
NIFTY OIL & GAS,2020-11-13,-,-,-,5057.14
NIFTY OIL & GAS,2020-11-12,-,-,-,5029.78
NIFTY OIL & GAS,2020-11-11,-,-,-,5040.54
NIFTY OIL & GAS,2020-11-10,-,-,-,5035.72
NIFTY OIL & GAS,2020-11-09,-,-,-,4947.95
NIFTY OIL & GAS,2020-11-06,-,-,-,4882.95
NIFTY OIL & GAS,2020-11-05,-,-,-,4820.05
NIFTY OIL & GAS,2020-11-04,-,-,-,4684.29
NIFTY OIL & GAS,2020-11-03,-,-,-,4632.7
NIFTY OIL & GAS,2020-11-02,-,-,-,4646.26
NIFTY OIL & GAS,2020-10-30,-,-,-,4806.91
NIFTY OIL & GAS,2020-10-29,-,-,-,4738.35
NIFTY OIL & GAS,2020-10-28,-,-,-,4729.4
NIFTY OIL & GAS,2020-10-27,-,-,-,4771.95
NIFTY OIL & GAS,2020-10-26,-,-,-,4755.22
NIFTY OIL & GAS,2020-10-23,-,-,-,4857.05
NIFTY OIL & GAS,2020-10-22,-,-,-,4846.33
NIFTY OIL & GAS,2020-10-21,-,-,-,4806.04
NIFTY OIL & GAS,2020-10-20,-,-,-,4789.65
NIFTY OIL & GAS,2020-10-19,-,-,-,4844.03
NIFTY OIL & GAS,2020-10-16,-,-,-,4777.3
NIFTY OIL & GAS,2020-10-15,-,-,-,4741.48
NIFTY OIL & GAS,2020-10-14,-,-,-,4816.26
NIFTY OIL & GAS,2020-10-13,-,-,-,4853.76
NIFTY OIL & GAS,2020-10-12,-,-,-,4850.55
NIFTY OIL & GAS,2020-10-09,-,-,-,4890.82
NIFTY OIL & GAS,2020-10-08,-,-,-,4871.29
NIFTY OIL & GAS,2020-10-07,-,-,-,4907.84
NIFTY OIL & GAS,2020-10-06,-,-,-,4906.81
NIFTY OIL & GAS,2020-10-05,-,-,-,4916.19
NIFTY OIL & GAS,2020-10-01,-,-,-,4920.95
NIFTY OIL & GAS,2020-09-30,-,-,-,4914.8
NIFTY OIL & GAS,2020-09-29,-,-,-,4990.99
NIFTY OIL & GAS,2020-09-28,-,-,-,5000.28
NIFTY OIL & GAS,2020-09-25,-,-,-,4908.07
NIFTY OIL & GAS,2020-09-24,-,-,-,4822.88
NIFTY OIL & GAS,2020-09-23,-,-,-,4952.75
NIFTY OIL & GAS,2020-09-22,-,-,-,4966.03
NIFTY OIL & GAS,2020-09-21,-,-,-,5081.94
NIFTY OIL & GAS,2020-09-18,-,-,-,5221.17
NIFTY OIL & GAS,2020-09-17,-,-,-,5221.69
NIFTY OIL & GAS,2020-09-16,-,-,-,5252.69
NIFTY OIL & GAS,2020-09-15,-,-,-,5273.71
NIFTY OIL & GAS,2020-09-14,-,-,-,5237.32
NIFTY OIL & GAS,2020-09-11,-,-,-,5249.23
NIFTY OIL & GAS,2020-09-10,-,-,-,5240.65
NIFTY OIL & GAS,2020-09-09,-,-,-,5033.23
NIFTY OIL & GAS,2020-09-08,-,-,-,5028.77
NIFTY OIL & GAS,2020-09-07,-,-,-,5022.25
NIFTY OIL & GAS,2020-09-04,-,-,-,5039.85
NIFTY OIL & GAS,2020-09-03,-,-,-,5117.82
NIFTY OIL & GAS,2020-09-02,-,-,-,5136.6
NIFTY OIL & GAS,2020-09-01,-,-,-,5067.02
NIFTY OIL & GAS,2020-08-31,-,-,-,5087.73
NIFTY OIL & GAS,2020-08-28,-,-,-,5192.55
NIFTY OIL & GAS,2020-08-27,-,-,-,5172.9
NIFTY OIL & GAS,2020-08-26,-,-,-,5218.07
NIFTY OIL & GAS,2020-08-25,-,-,-,5173.7
NIFTY OIL & GAS,2020-08-24,-,-,-,5184.5
NIFTY OIL & GAS,2020-08-21,-,-,-,5168.22
NIFTY OIL & GAS,2020-08-20,-,-,-,5186.32
NIFTY OIL & GAS,2020-08-19,-,-,-,5165.79
NIFTY OIL & GAS,2020-08-18,-,-,-,5143.82
NIFTY OIL & GAS,2020-08-17,-,-,-,5113.74
NIFTY OIL & GAS,2020-08-14,-,-,-,5115.07
NIFTY OIL & GAS,2020-08-13,-,-,-,5180.62
