Date,Open,High,Low,Close
2022-08-12,13016.50,13017.50,12830.45,12864.0
2022-08-11,12998.40,13033.75,12961.40,13014.2
2022-08-10,12986.25,13053.10,12915.50,12950.7
2022-08-08,12952.05,12962.95,12878.10,12940.25
2022-08-05,13003.85,13068.30,12920.00,12939.75
2022-08-04,12720.05,12992.25,12681.30,12982.35
2022-08-03,12789.05,12829.10,12618.20,12682.0
2022-08-02,12765.50,12792.95,12699.95,12780.4
2022-08-01,12835.40,12883.75,12707.70,12766.85
2022-07-29,12677.75,12835.45,12526.30,12776.55
2022-07-28,12665.60,12682.20,12500.20,12660.65
2022-07-27,12341.65,12647.75,12301.85,12628.95
2022-07-26,12495.65,12508.80,12325.00,12341.9
2022-07-25,12612.35,12640.80,12454.25,12488.8
2022-07-22,12687.80,12711.15,12573.90,12617.55
2022-07-21,12710.10,12756.35,12599.50,12651.75
2022-07-20,12786.40,12786.40,12685.60,12711.5
2022-07-19,12680.40,12820.25,12663.15,12682.2
2022-07-18,12827.35,12869.40,12668.45,12713.45
2022-07-15,12775.40,12800.75,12665.00,12732.0
2022-07-14,12664.40,12855.65,12630.50,12721.0
2022-07-13,12494.70,12639.15,12442.55,12622.3
2022-07-12,12516.50,12587.30,12428.75,12450.65
2022-07-11,12447.85,12598.70,12386.90,12564.85
2022-07-08,12449.30,12460.05,12392.35,12449.45
2022-07-07,12408.70,12450.85,12370.60,12389.7
2022-07-06,12264.00,12350.70,12220.40,12331.15
2022-07-05,12254.65,12373.90,12217.40,12233.75
2022-07-04,12240.30,12344.55,12143.95,12218.2
2022-07-01,12124.45,12296.30,12084.00,12260.9
2022-06-30,12176.15,12252.60,12110.20,12159.35
2022-06-29,12139.45,12249.80,12099.35,12210.95
2022-06-28,12224.40,12235.95,12100.85,12214.55
2022-06-27,12275.80,12325.75,12200.10,12221.55
2022-06-24,12173.25,12270.50,12150.55,12178.4
2022-06-23,11969.95,12145.05,11947.90,12127.2
2022-06-22,12050.65,12147.65,11893.15,11939.05
2022-06-21,11887.00,12118.05,11882.70,12098.35
2022-06-20,11815.00,11886.10,11726.40,11847.9
2022-06-17,12000.65,12038.25,11745.05,11803.95
2022-06-16,12321.60,12330.50,12022.45,12066.65
2022-06-15,12248.40,12299.55,12204.75,12261.35
2022-06-14,12140.30,12283.35,12135.75,12218.5
2022-06-13,12288.25,12410.75,12130.65,12191.85
2022-06-10,12363.70,12447.65,12330.20,12419.2
2022-06-09,12284.80,12481.95,12228.10,12465.9
2022-06-08,12279.90,12341.15,12170.45,12317.8
2022-06-07,12352.85,12362.70,12189.65,12279.65
2022-06-06,12406.60,12463.80,12360.60,12412.4
2022-06-03,12556.80,12622.35,12401.65,12418.8
2022-06-02,12407.40,12518.60,12376.70,12500.35
2022-06-01,12665.85,12665.85,12393.90,12443.75
2022-05-31,12608.25,12690.55,12527.80,12604.45
2022-05-30,12731.65,12822.65,12662.90,12671.15
2022-05-27,12635.40,12688.05,12555.85,12669.95
2022-05-26,12606.40,12655.25,12398.40,12557.5
2022-05-25,12749.00,12808.30,12526.05,12543.85
2022-05-24,12908.80,12926.20,12666.30,12691.6
2022-05-23,13121.00,13253.80,12854.00,12889.2
2022-05-20,12718.80,13089.40,12707.95,13065.5
2022-05-19,12646.75,12743.40,12574.05,12600.85
2022-05-18,12767.80,12942.90,12756.30,12881.55
2022-05-17,12627.45,12759.15,12548.65,12745.95
2022-05-16,12634.70,12687.40,12536.55,12608.25
2022-05-13,12534.25,12764.60,12521.90,12629.5
2022-05-12,12514.80,12521.60,12299.20,12424.45
2022-05-11,12530.15,12632.20,12407.60,12557.65
2022-05-10,12753.90,12869.40,12557.75,12596.3
2022-05-09,12727.65,12856.65,12665.30,12785.0
2022-05-06,12840.85,12896.40,12726.55,12820.9
2022-05-05,13181.75,13284.55,12968.15,13008.5
2022-05-04,13462.20,13510.70,13068.20,13108.8
2022-05-02,13397.30,13479.50,13323.50,13460.25
2022-04-29,13507.10,13765.95,13429.25,13462.85
2022-04-28,13473.35,13547.15,13377.60,13480.0
2022-04-27,13365.65,13416.45,13258.80,13358.15
2022-04-26,13384.40,13505.65,13376.05,13444.1
2022-04-25,13441.95,13516.80,13263.10,13296.75
2022-04-22,13786.80,13786.80,13516.60,13569.85
2022-04-21,13703.60,13838.10,13670.25,13821.3
2022-04-20,13572.90,13722.35,13492.05,13660.65
2022-04-19,13774.35,13853.15,13413.45,13522.45
2022-04-18,13699.40,13823.45,13612.30,13717.3
2022-04-13,13761.15,13849.15,13698.70,13772.75
2022-04-12,13801.00,13879.50,13661.50,13744.65
2022-04-11,13827.00,13948.25,13818.90,13837.85
2022-04-08,13875.05,13923.10,13715.40,13838.6
2022-04-07,13786.70,13972.45,13779.15,13815.0
2022-04-06,13786.55,13907.65,13744.50,13758.45
2022-04-05,13837.20,13903.55,13777.45,13809.25
2022-04-04,13630.45,13806.50,13571.45,13789.25
2022-04-01,13609.90,13647.05,13524.00,13579.9
2022-03-31,13755.35,13800.65,13542.30,13584.1
2022-03-30,13831.35,13840.90,13703.35,13745.6
2022-03-29,13602.95,13791.70,13564.05,13771.4
2022-03-28,13642.20,13722.05,13491.90,13562.25
2022-03-25,13771.80,13785.65,13530.30,13607.05
2022-03-24,13501.90,13783.45,13474.60,13724.5
2022-03-23,13582.45,13725.15,13541.45,13569.65
2022-03-22,13554.50,13577.75,13400.90,13513.15
2022-03-21,13632.10,13749.40,13530.90,13549.55
2022-03-17,13439.65,13566.15,13436.35,13546.05
2022-03-16,13446.50,13447.30,13256.10,13374.5
2022-03-15,13358.60,13556.10,13250.10,13318.85
2022-03-14,13420.35,13452.40,13315.10,13351.9
2022-03-11,13073.65,13426.50,13031.10,13399.0
2022-03-10,13170.55,13227.10,13041.55,13077.05
2022-03-09,12929.75,13130.50,12864.30,13059.25
2022-03-08,12534.00,12873.75,12524.85,12844.85
2022-03-07,12436.75,12570.70,12290.90,12546.85
2022-03-04,12558.50,12731.05,12478.10,12600.15
