HINDUNILVR_Close,ICICIBANK_Close,LT_Close,BHARTIARTL_Close,INFY_Close,ITC_Close,HDFCBANK_Close,SBIN_Close,RELIANCE_Close,TCS_Close
1463.0,373.9,487.1,226.1,8360.2,1314.5,519.45,649.9,1062.5,1341.25
1445.5,361.75,479.625,210.35,8210.0,1296.8,500.05,617.45,1059.9,1325.0
1418.5,353.4,469.975,211.2,8175.0,1276.7,485.15,604.3,1052.4,1320.45
1410.5,358.7,487.25,210.15,8203.2,1300.2,490.25,615.65,1084.5,1339.95
1427.5,348.9,486.35,203.55,7979.6,1274.45,489.75,599.95,1068.3,1327.45
1411.5,350.75,469.5,199.0,7886.6,1271.4,483.4,588.25,1051.5,1313.75
1394.0,345.1,461.425,195.95,7625.0,1271.05,480.95,573.2,1036.4,1298.05
1400.5,354.05,459.65,207.6,7873.4,1244.45,498.9,593.05,1040.2,1292.9
1401.5,351.15,454.35,209.65,7896.0,1253.0,514.95,578.4,1027.8,1296.4
1402.5,352.1,459.525,210.85,7990.8,1242.8,520.05,589.0,1023.1,1263.25
1426.0,351.0,460.2,214.85,7861.6,1250.05,513.55,584.5,1021.7,1263.85
1420.5,351.6,463.025,211.95,7835.8,1240.4,518.9,581.2,1027.4,1255.4
1421.5,346.2,476.35,201.35,7859.0,1378.85,511.35,576.35,1023.0,1243.7
1475.5,338.55,458.3,198.5,7622.0,1346.75,491.35,571.2,1013.4,1220.65
1495.0,343.55,454.7,203.5,7651.4,1359.15,520.6,581.95,1003.2,1235.45
1516.0,337.5,456.35,209.6,7808.4,1384.4,537.65,580.95,1012.2,1240.55
1531.5,348.05,482.65,219.45,8150.6,1399.3,539.85,622.2,1044.5,1289.2
1598.0,360.9,502.625,230.5,8274.6,1361.5,564.6,643.0,1064.6,1300.4
1684.0,361.8,494.0,222.6,8247.0,1350.05,560.15,634.05,1085.9,1315.25
1646.5,366.05,489.65,219.0,8287.2,1325.4,558.6,648.75,1067.1,1308.95
1656.0,369.65,494.95,219.85,8405.4,1329.6,573.5,656.1,1081.9,1311.1
1659.0,365.7,495.225,218.4,8341.6,1341.8,567.15,648.15,1074.3,1306.45
1621.0,361.1,489.1,220.8,8119.8,1332.2,561.75,642.85,1060.7,1313.75
1600.0,362.8,483.625,215.05,8174.4,1320.45,570.45,635.2,1067.6,1316.0
1604.5,366.45,498.225,209.3,8180.0,1327.35,588.1,652.2,1074.3,1332.8
1540.0,374.7,498.725,205.5,8177.6,1330.7,579.5,648.5,1085.0,1332.65
1554.5,374.9,497.525,208.8,8414.4,1334.0,575.0,654.05,1094.8,1381.75
1518.0,380.8,500.7,214.95,8678.6,1318.95,568.65,665.55,1087.1,1409.65
1521.5,383.15,501.625,218.6,8727.6,1312.8,562.5,661.15,1078.4,1381.35
1439.0,375.6,506.55,214.75,8734.6,1305.35,562.0,663.15,1070.1,1368.15
1449.5,376.1,510.325,210.4,8695.8,1298.85,558.3,659.7,1071.7,1381.85
1447.5,381.75,512.625,218.2,8658.8,1280.05,564.2,658.25,1068.4,1375.0
1426.5,376.45,509.875,214.75,8575.6,1264.1,560.5,660.75,1069.0,1365.55
1454.5,374.65,533.85,214.95,8644.0,1283.7,560.6,680.35,1079.1,1363.45
1439.0,373.75,545.15,214.9,8562.4,1285.2,558.1,677.0,1096.6,1374.95
1427.5,369.4,529.875,213.5,8657.2,1294.5,576.0,690.95,1094.0,1367.95
1405.5,367.65,541.175,219.55,8717.8,1287.9,570.15,685.1,1080.3,1364.05
1440.5,380.9,544.125,225.2,8960.4,1294.1,587.3,714.65,1112.5,1380.9
1462.0,372.25,568.175,224.6,8725.0,1338.65,577.55,695.6,1095.1,1357.45
1468.5,389.5,556.9,235.75,8748.2,1340.95,576.75,706.4,1099.3,1368.0
1503.0,397.0,550.825,235.15,8857.8,1346.9,576.1,717.1,1117.2,1389.55
1498.0,397.7,558.8,235.85,8936.8,1372.95,585.9,713.45,1144.1,1392.25
1449.5,399.3,549.6,230.35,9008.4,1366.1,601.15,726.6,1173.8,1400.2
1460.5,398.95,553.7,229.95,9056.4,1374.0,614.2,724.05,1182.2,1413.95
1441.5,390.5,548.725,230.15,9007.6,1372.95,624.15,720.85,1175.7,1407.5
1441.5,392.05,545.45,223.45,8928.2,1381.15,615.4,742.1,1188.0,1399.55
1436.5,390.5,546.925,223.75,8858.6,1345.6,609.7,736.9,1175.9,1427.45
1383.0,384.2,548.275,221.55,8904.6,1334.45,602.7,734.1,1158.0,1451.85
1358.0,382.6,543.075,215.4,8843.2,1339.5,593.9,731.75,1141.7,1442.65
1354.0,400.95,532.475,209.7,8772.4,1335.2,594.15,728.0,1148.6,1452.05
1338.0,401.4,524.525,198.65,8724.4,1334.2,572.4,726.2,1125.0,1460.95
1336.5,413.05,516.35,207.2,8799.8,1311.15,565.9,727.8,1143.7,1468.7
1302.5,408.45,511.575,211.95,8946.2,1296.55,559.2,722.7,1119.4,1456.45
1308.0,395.25,504.05,211.3,8895.0,1276.35,551.75,693.25,1089.4,1443.55
1336.5,390.25,492.55,214.2,8649.6,1284.0,531.65,657.7,1105.5,1421.25
1347.0,390.35,485.8,212.1,8636.4,1321.9,519.45,664.4,1120.0,1384.35
1348.5,397.85,503.025,210.0,8744.0,1313.65,532.95,665.6,1132.2,1392.4
1312.5,389.85,491.0,205.85,8666.4,1275.1,536.95,641.7,1098.3,1370.9
1312.5,383.0,489.3,201.65,8681.2,1281.8,533.25,661.05,1086.3,1390.55
