Index Name,Date,Open,High,Low,Close
NIFTY FINANCIAL SERVICES,2021-01-01,15215.4,15282.45,15156.65,15184.5
NIFTY FINANCIAL SERVICES,2020-12-31,15165.8,15273.7,15092.8,15208.0
NIFTY FINANCIAL SERVICES,2020-12-30,15181.55,15184.25,15004.4,15162.9
NIFTY FINANCIAL SERVICES,2020-12-29,15021.9,15144.05,15015.85,15120.0
NIFTY FINANCIAL SERVICES,2020-12-28,14851.85,14988.15,14843.75,14966.45
NIFTY FINANCIAL SERVICES,2020-12-24,14607.25,14836.6,14576.75,14779.6
NIFTY FINANCIAL SERVICES,2020-12-23,14391.8,14544.9,14343.1,14517.05
NIFTY FINANCIAL SERVICES,2020-12-22,14453.65,14484,14145.95,14421.6
NIFTY FINANCIAL SERVICES,2020-12-21,14830.85,14847.55,14250.8,14392.6
NIFTY FINANCIAL SERVICES,2020-12-18,14937,14946.65,14741.3,14879.15
NIFTY FINANCIAL SERVICES,2020-12-17,14843.55,14988.9,14772.4,14963.55
NIFTY FINANCIAL SERVICES,2020-12-16,14800.05,14838.3,14694.45,14789.3
NIFTY FINANCIAL SERVICES,2020-12-15,14569.65,14695.15,14437.6,14673.0
NIFTY FINANCIAL SERVICES,2020-12-14,14560.65,14583.8,14458.55,14561.5
NIFTY FINANCIAL SERVICES,2020-12-11,14492.15,14577.25,14376.65,14501.9
NIFTY FINANCIAL SERVICES,2020-12-10,14504.65,14505.35,14342.75,14450.1
NIFTY FINANCIAL SERVICES,2020-12-09,14418.1,14580.25,14416.45,14554.3
NIFTY FINANCIAL SERVICES,2020-12-08,14410.75,14440.15,14315.1,14384.7
NIFTY FINANCIAL SERVICES,2020-12-07,14277.85,14383.9,14221.9,14360.25
NIFTY FINANCIAL SERVICES,2020-12-04,14181.4,14357.4,14124.1,14286.45
NIFTY FINANCIAL SERVICES,2020-12-03,14301.7,14305.35,14094.7,14138.75
NIFTY FINANCIAL SERVICES,2020-12-02,14360.1,14363.35,14053.85,14187.5
NIFTY FINANCIAL SERVICES,2020-12-01,14358.2,14410.35,14209.25,14352.05
NIFTY FINANCIAL SERVICES,2020-11-27,14277.25,14334.15,14136.15,14293.15
NIFTY FINANCIAL SERVICES,2020-11-26,14080.15,14271.75,13944.3,14237.65
NIFTY FINANCIAL SERVICES,2020-11-25,14393.55,14439.3,13981.75,14011.7
NIFTY FINANCIAL SERVICES,2020-11-24,14170.95,14312.6,14139.05,14275.25
NIFTY FINANCIAL SERVICES,2020-11-23,14293.75,14309.85,13989.65,14059.1
NIFTY FINANCIAL SERVICES,2020-11-20,13994.65,14273.05,13936.2,14210.5
NIFTY FINANCIAL SERVICES,2020-11-19,14127.05,14276.8,13942.8,13973.5
NIFTY FINANCIAL SERVICES,2020-11-18,14071.5,14315.85,14038.95,14301.45
NIFTY FINANCIAL SERVICES,2020-11-17,13948.65,14128.8,13884.05,14109.35
NIFTY FINANCIAL SERVICES,2020-11-14,13879.4,13912.3,13793.55,13840.25
NIFTY FINANCIAL SERVICES,2020-11-13,13676.6,13798.2,13531.6,13779.75
NIFTY FINANCIAL SERVICES,2020-11-12,13783.25,13801.7,13611.3,13743.35
NIFTY FINANCIAL SERVICES,2020-11-11,13751.9,13928.2,13633.15,13889.9
