Date,INR
2005-03-01,154.6
2005-04-01,152.0
2005-05-01,152.2
2005-06-01,152.0
2005-07-01,150.8
2005-10-01,150.7
2005-11-01,150.4
2005-12-01,152.3
2005-01-13,151.1
2005-01-14,150.7
2005-01-17,150.5
2005-01-18,150.6
2005-01-19,151.6
2005-01-20,151.4
2005-01-21,151.3
2005-01-24,152.5
2005-01-25,152.0
2005-01-26,152.2
2005-01-27,151.6
2005-01-28,152.5
2005-01-31,150.7
2005-01-02,150.4
2005-02-02,149.6
2005-03-02,147.7
2005-04-02,147.6
2005-07-02,147.2
2005-08-02,146.8
2005-09-02,146.9
2005-10-02,148.7
2005-11-02,149.8
2005-02-14,151.3
2005-02-15,152.0
2005-02-16,151.3
2005-02-17,152.6
2005-02-18,152.9
2005-02-21,153.0
2005-02-22,154.6
2005-02-23,154.6
2005-02-24,154.9
2005-02-25,155.1
2005-02-28,155.2
2005-01-03,154.9
2005-02-03,154.2
2005-03-03,153.7
2005-04-03,154.9
2005-07-03,154.6
2005-08-03,156.1
2005-09-03,156.8
2005-10-03,156.9
2005-11-03,157.8
2005-03-14,157.3
2005-03-15,157.0
2005-03-16,157.8
2005-03-17,156.4
2005-03-18,156.0
2005-03-21,154.6
2005-03-22,154.4
2005-03-23,152.3
2005-03-24,151.9
2005-03-25,151.9
2005-03-28,152.3
2005-03-29,152.6
2005-03-30,152.5
2005-03-31,152.6
2005-01-04,152.4
2005-04-04,151.6
2005-05-04,152.0
2005-06-04,152.1
2005-07-04,153.0
2005-08-04,152.1
2005-11-04,153.3
2005-12-04,152.8
2005-04-13,152.9
2005-04-14,151.4
2005-04-15,152.0
2005-04-18,152.3
2005-04-19,152.8
2005-04-20,154.8
2005-04-21,155.1
2005-04-22,155.2
2005-04-25,154.7
2005-04-26,156.1
2005-04-27,155.1
2005-04-28,154.5
2005-04-29,155.1
2005-02-05,155.2
2005-03-05,152.5
2005-04-05,152.6
2005-05-05,152.3
2005-06-05,151.0
2005-09-05,151.3
2005-10-05,151.8
2005-11-05,150.6
2005-12-05,150.4
2005-05-13,149.1
2005-05-16,149.0
2005-05-17,149.2
2005-05-18,149.2
2005-05-19,149.6
2005-05-20,148.6
2005-05-23,148.7
2005-05-24,148.7
2005-05-25,148.9
2005-05-26,148.6
2005-05-27,148.8
2005-05-30,149.0
2005-05-31,148.2
2005-01-06,148.6
2005-02-06,150.1
2005-03-06,150.9
2005-06-06,151.8
2005-07-06,151.0
2005-08-06,150.9
2005-09-06,150.3
2005-10-06,150.3
2005-06-13,153.2
2005-06-14,152.2
2005-06-15,152.7
2005-06-16,154.3
2005-06-17,155.7
2005-06-20,156.5
2005-06-21,154.9
2005-06-22,155.6
2005-06-23,156.4
2005-06-24,156.8
2005-06-27,156.2
2005-06-28,155.4
2005-06-29,155.2
2005-06-30,155.4
2005-01-07,153.7
2005-04-07,152.2
2005-05-07,151.0
2005-06-07,150.9
2005-07-07,151.5
2005-08-07,151.2
2005-11-07,151.0
2005-12-07,151.8
2005-07-13,150.9
2005-07-14,150.9
2005-07-15,148.8
2005-07-18,149.8
2005-07-19,149.2
2005-07-20,150.1
2005-07-21,149.6
2005-07-22,150.9
2005-07-25,151.6
2005-07-26,150.3
2005-07-27,150.6
2005-07-28,151.3
2005-07-29,152.4
2005-01-08,153.1
2005-02-08,153.4
2005-03-08,154.2
2005-04-08,156.0
2005-05-08,155.7
2005-08-08,155.2
2005-09-08,154.1
2005-10-08,155.4
2005-11-08,156.9
2005-12-08,159.1
2005-08-15,157.7
2005-08-16,157.6
2005-08-17,157.2
2005-08-18,156.5
2005-08-19,156.6
2005-08-22,156.8
2005-08-23,156.7
2005-08-24,157.3
2005-08-25,156.5
2005-08-26,155.8
2005-08-29,156.7
2005-08-30,155.0
2005-08-31,156.2
2005-01-09,158.0
2005-02-09,159.1
2005-05-09,159.8
2005-06-09,159.2
2005-07-09,159.5
2005-08-09,160.7
2005-09-09,160.6
2005-12-09,160.5
2005-09-13,159.7
2005-09-14,161.1
2005-09-15,163.0
2005-09-16,163.9
2005-09-19,166.5
2005-09-20,166.6
2005-09-21,168.3
2005-09-22,167.3
2005-09-23,166.0
2005-09-26,165.9
2005-09-27,167.1
2005-09-28,166.9
2005-09-29,169.8
2005-09-30,170.1
2005-03-10,168.0
2005-04-10,168.9
2005-05-10,167.6
2005-06-10,170.6
2005-07-10,171.3
2005-10-10,173.2
2005-11-10,174.3
2005-12-10,173.9
2005-10-13,172.4
2005-10-14,170.7
2005-10-17,173.9
2005-10-18,174.1
2005-10-19,171.9
2005-10-20,171.5
2005-10-21,170.4
2005-10-24,171.9
2005-10-25,173.8
2005-10-26,174.2
2005-10-27,174.8
2005-10-28,173.5
2005-10-31,173.6
2005-01-11,169.4
2005-02-11,170.3
2005-03-11,170.9
2005-04-11,171.3
2005-07-11,171.1
2005-08-11,172.7
2005-09-11,173.0
2005-10-11,174.5
2005-11-11,173.9
2005-11-14,175.0
2005-11-15,174.7
2005-11-16,177.9
2005-11-17,181.7
2005-11-18,181.7
2005-11-21,183.0
2005-11-22,184.6
2005-11-23,182.2
2005-11-24,184.4
2005-11-25,185.7
2005-11-28,186.0
2005-11-29,185.9
2005-11-30,186.0
2005-01-12,188.3
2005-02-12,189.5
2005-05-12,191.3
2005-06-12,190.3
2005-07-12,194.7
2005-08-12,194.9
2005-09-12,198.2
2005-12-12,201.9
2005-12-13,196.7
2005-12-14,190.2
2005-12-15,187.5
2005-12-16,187.4
2005-12-19,187.1
2005-12-20,185.5
2005-12-21,180.6
2005-12-22,184.5
2005-12-23,184.5
2005-12-26,184.5
2005-12-27,184.8
2005-12-28,191.0
2005-12-29,189.4
2005-12-30,188.8
2006-02-01,188.8
2006-03-01,194.7
2006-04-01,193.7
2006-05-01,191.4
2006-06-01,194.1
2006-09-01,195.8
2006-10-01,196.2
2006-11-01,196.7
2006-12-01,195.3
2006-01-13,197.8
2006-01-16,202.9
2006-01-17,200.2
2006-01-18,197.4
2006-01-19,200.4
2006-01-20,204.9
2006-01-23,200.0
2006-01-24,201.4
2006-01-25,202.5
2006-01-26,200.3
2006-01-27,202.2
2006-01-30,203.5
2006-01-31,205.2
2006-01-02,205.1
2006-02-02,206.7
2006-03-02,205.4
2006-06-02,205.8
2006-07-02,201.8
2006-08-02,198.2
2006-09-02,202.1
2006-10-02,200.9
2006-02-13,198.4
2006-02-14,195.0
2006-02-15,195.3
2006-02-16,195.0
2006-02-17,200.5
2006-02-20,201.0
2006-02-21,201.0
2006-02-22,201.4
2006-02-23,200.0
2006-02-24,201.0
2006-02-27,201.0
2006-02-28,201.7
2006-01-03,204.7
2006-02-03,204.2
2006-03-03,204.3
2006-06-03,204.5
2006-07-03,200.2
2006-08-03,198.0
2006-09-03,200.1
2006-10-03,193.9
2006-03-13,197.3
2006-03-14,198.4
2006-03-15,202.0
2006-03-16,200.3
2006-03-17,200.1
2006-03-20,201.2
2006-03-21,198.9
2006-03-22,200.2
2006-03-23,198.9
2006-03-24,202.6
2006-03-27,206.2
2006-03-28,207.2
2006-03-29,206.3
2006-03-30,212.9
2006-03-31,212.1
2006-03-04,213.3
2006-04-04,214.4
2006-05-04,214.0
2006-06-04,216.4
2006-07-04,215.5
2006-10-04,218.9
2006-11-04,219.1
2006-12-04,220.8
2006-04-13,218.9
2006-04-14,218.9
2006-04-17,218.4
2006-04-18,226.8
2006-04-19,230.0
2006-04-20,230.4
2006-04-21,229.8
2006-04-24,228.4
2006-04-25,233.2
2006-04-26,234.1
2006-04-27,234.0
2006-04-28,236.5
2006-01-05,235.8
2006-02-05,242.3
2006-03-05,246.9
2006-04-05,246.8
2006-05-05,248.6
2006-08-05,247.6
2006-09-05,253.5
2006-10-05,257.0
2006-11-05,263.0
2006-12-05,267.0
2006-05-15,255.5
2006-05-16,257.5
2006-05-17,258.4
2006-05-18,257.7
2006-05-19,242.6
2006-05-22,243.0
2006-05-23,248.2
2006-05-24,242.6
2006-05-25,241.1
2006-05-26,241.0
2006-05-29,242.1
2006-05-30,250.0
2006-05-31,247.2
2006-01-06,236.8
2006-02-06,237.0
2006-05-06,240.2
2006-06-06,235.4
2006-07-06,231.4
2006-08-06,230.6
2006-09-06,231.5
2006-12-06,228.7
2006-06-13,219.7
2006-06-14,213.3
2006-06-15,214.0
2006-06-16,215.1
2006-06-19,214.4
2006-06-20,213.1
2006-06-21,215.9
2006-06-22,220.3
2006-06-23,218.6
2006-06-26,221.3
2006-06-27,222.9
2006-06-28,220.9
2006-06-29,223.0
2006-06-30,230.9
2006-03-07,234.7
2006-04-07,233.6
2006-05-07,234.7
2006-06-07,236.2
2006-07-07,237.9
2006-10-07,236.1
2006-11-07,238.1
2006-12-07,245.8
2006-07-13,246.0
2006-07-14,251.4
2006-07-17,249.4
2006-07-18,246.3
2006-07-19,246.5
2006-07-20,245.6
2006-07-21,242.4
2006-07-24,232.3
2006-07-25,236.8
2006-07-26,234.9
2006-07-27,243.5
2006-07-28,243.1
2006-07-31,240.8
2006-01-08,242.7
2006-02-08,249.9
2006-03-08,245.3
2006-04-08,248.3
2006-07-08,247.5
2006-08-08,245.9
2006-09-08,246.6
2006-10-08,244.6
2006-11-08,245.1
2006-08-14,238.1
2006-08-15,238.3
2006-08-16,239.8
2006-08-17,237.5
2006-08-18,233.2
2006-08-21,237.4
2006-08-22,236.9
2006-08-23,238.9
2006-08-24,237.3
2006-08-25,236.4
2006-08-28,236.2
2006-08-29,233.2
2006-08-30,234.9
2006-08-31,237.2
2006-01-09,236.2
2006-04-09,237.4
2006-05-09,241.3
2006-06-09,239.8
2006-07-09,234.8
2006-08-09,230.6
2006-11-09,222.6
2006-12-09,223.5
2006-09-13,222.4
2006-09-14,220.5
2006-09-15,216.3
2006-09-18,219.0
2006-09-19,219.8
2006-09-20,218.1
2006-09-21,217.0
2006-09-22,221.1
2006-09-25,219.6
2006-09-26,221.9
2006-09-27,222.8
2006-09-28,226.4
2006-09-29,225.0
2006-02-10,225.5
2006-03-10,217.8
2006-04-10,214.5
2006-05-10,214.0
2006-06-10,209.0
2006-09-10,215.1
2006-10-10,214.0
2006-11-10,214.3
2006-12-10,213.7
2006-10-13,217.8
2006-10-16,221.1
2006-10-17,218.4
2006-10-18,220.4
2006-10-19,221.3
2006-10-20,221.1
2006-10-23,216.2
2006-10-24,213.5
2006-10-25,215.3
2006-10-26,220.6
2006-10-27,220.3
2006-10-30,223.8
2006-10-31,222.3
2006-01-11,225.3
2006-02-11,227.8
2006-03-11,228.2
2006-06-11,229.9
2006-07-11,228.8
2006-08-11,227.8
2006-09-11,227.7
2006-10-11,230.1
2006-11-13,229.3
2006-11-14,231.6
2006-11-15,229.0
2006-11-16,229.6
2006-11-17,227.9
2006-11-20,230.0
2006-11-21,229.1
2006-11-22,231.4
2006-11-23,230.3
2006-11-24,233.7
2006-11-27,233.4
2006-11-28,232.8
2006-11-29,233.0
2006-11-30,236.5
2006-01-12,236.9
2006-04-12,235.7
2006-05-12,235.1
2006-06-12,232.4
2006-07-12,229.1
2006-08-12,233.1
2006-11-12,229.6
2006-12-12,230.0
2006-12-13,228.5
2006-12-14,229.2
2006-12-15,227.9
2006-12-18,224.6
2006-12-19,227.0
2006-12-20,226.4
2006-12-21,226.4
2006-12-22,226.1
2006-12-25,226.1
2006-12-26,225.5
2006-12-27,227.7
2006-12-28,228.7
2006-12-29,228.7
2007-01-01,228.7
2007-02-01,231.4
2007-03-01,233.1
2007-04-01,227.6
2007-05-01,220.8
2007-08-01,221.7
2007-09-01,221.2
2007-10-01,221.6
2007-11-01,223.1
2007-12-01,225.1
2007-01-15,227.0
2007-01-16,227.0
2007-01-17,226.4
2007-01-18,230.1
2007-01-19,227.6
