Date,FMCG,FINANCE,BANK,IT,COMMODITIES,AUTO,ENERGY,INFRASTRUCTURE,PHARMA,N50,VIX,GOLD,N-PE,N-PB
2021-01-01,15184.5,31225.85,24456.1,3815.9,9272.5,16976.2,3674.2,13001.95,14018.5,22.586,1127.7,38.55,3.97,1.13
2020-12-31,15208.0,31264.05,24251.35,3800.6,9193.5,16922.5,3650.95,12915.9,13981.75,22.75,1127.7,38.45,3.96,1.14
2020-12-30,15162.9,31303.05,24330.05,3811.3,9164.8,16948.75,3669.25,12823.9,13981.95,22.77,1131.4,38.45,3.96,1.14
2020-12-29,15120.0,31322.5,24274.05,3765.55,9043.9,16899.35,3645.45,12843.9,13932.6,23.08,1125.2,38.31,3.94,1.14
2020-12-28,14966.45,30880.95,24100.3,3785.8,9066.85,17005.5,3656.35,12874.35,13873.2,21.7,1126.8,38.15,3.93,1.14
2020-12-24,14779.6,30402.2,24009.25,3738.75,8978.05,16860.7,3620.95,12908.95,13749.25,21.53,1127.6,37.81,3.89,1.15
2020-12-23,14517.05,29883.3,24167.75,3714.1,8935.95,16628.2,3584.85,12753.25,13601.1,23.31,1130.8,37.4,3.85,1.17
2020-12-22,14421.6,29625.95,23611.6,3676.95,8818.6,16569.0,3562.45,12550.95,13466.3,24.23,1133.4,37.03,3.81,1.18
2020-12-21,14392.6,29456.45,22844.6,3640.55,8745.0,16377.45,3511.5,12278.15,13328.4,25.16,1134.2,36.65,3.77,1.19
2020-12-18,14879.15,30714.65,23256.55,3821.8,9168.65,17231.95,3666.9,12762.35,13760.55,21.57,1130.6,37.84,3.89,1.15
2020-12-17,14963.55,30847.05,22892.25,3826.65,9185.2,17323.55,3676.35,12602.4,13740.7,21.93,1137.5,37.79,3.89,1.16
2020-12-16,14789.3,30698.4,22906.25,3841.25,9239.1,17383.15,3682.7,12547.5,13682.7,22.5,1114.3,37.63,3.87,1.16
2020-12-15,14673.0,30691.05,22715.1,3815.3,9149.75,17281.35,3652.45,12432.6,13567.85,22.89,1114.3,37.31,3.84,1.17
2020-12-14,14561.5,30745.9,22746.7,3801.35,9093.1,17351.35,3652.0,12459.9,13558.15,24.72,1101.4,37.28,3.84,1.17
2020-12-11,14501.9,30604.85,22664.0,3762.1,9188.95,17204.05,3618.15,12366.0,13513.85,23.31,1144.3,37.16,3.82,1.18
2020-12-10,14450.1,30510.35,22755.75,3727.9,9200.85,16931.6,3600.1,12440.6,13478.3,22.52,1153.6,37.06,3.81,1.18
2020-12-09,14554.3,30709.4,22803.45,3779.7,9293.3,17087.75,3623.45,12443.9,13529.1,22.27,1134.57,37.2,3.83,1.17
2020-12-08,14384.7,30261.9,22617.35,3783.7,9297.85,16967.55,3607.2,12407.3,13392.95,20.68,1182.1,36.83,3.79,1.19
2020-12-07,14360.25,30211.55,22440.85,3793.65,9311.1,16998.6,3604.3,12555.95,13355.75,21.3,1095.35,36.677,3.774,1.191
2020-12-04,14286.45,30052.4,22309.8,3782.2,9302.2,16923.55,3565.9,12353.6,13258.55,20.79,1078.2,36.46,3.75,1.2
2020-12-03,14138.75,29448.75,22202.2,3764.65,9245.3,16941.25,3528.55,12206.95,13133.9,21.28,953.1,36.12,3.72,1.21
2020-12-02,14187.5,29463.15,22319.0,3710.3,9093.7,16701.05,3501.8,12088.6,13113.75,21.17,912.1,36.06,3.71,1.21
2020-12-01,14352.05,29817.85,22170.85,3665.8,8987.15,16475.35,3476.85,12045.15,13109.05,20.77,1075.76,36.05,3.71,1.21
2020-11-27,14293.15,29609.05,21764.9,3605.9,8891.6,16251.85,3424.75,11839.15,12968.95,20.84,1077.4,35.66,3.67,1.22
2020-11-26,14237.65,29549.75,21859.9,3604.05,8767.75,16346.0,3431.6,11801.25,12987.0,21.986,1091.9,35.71,3.68,1.22
2020-11-25,14011.7,29196.4,21705.9,3562.35,8738.45,16388.0,3407.35,11635.2,12858.4,21.25,1093.9,35.36,3.64,1.23
2020-11-24,14275.25,29737.25,22064.3,3607.5,8887.95,16460.55,3446.0,11880.8,13055.15,21.64,1088.9,35.9,3.7,1.22
2020-11-23,14059.1,29024.2,22007.05,3594.75,8738.6,16405.55,3436.5,11737.2,12926.45,22.66,1115.0,35.55,3.66,1.23
2020-11-20,14210.5,29236.0,21409.25,3533.75,8684.75,15959.75,3405.3,11526.75,12859.05,23.7,1137.3,35.36,3.64,1.23
2020-11-19,13973.5,28903.05,21114.45,3509.35,8628.3,15951.55,3390.05,11566.6,12771.7,23.11,1127.9,35.12,3.61,1.24
2020-11-18,14301.45,29749.85,21314.85,3537.95,8686.6,15911.1,3421.5,11612.95,12938.25,23.84,1138.0,35.59,3.66,1.23
2020-11-17,14109.35,29181.3,21488.55,3532.35,8425.55,15925.3,3390.45,11690.8,12874.2,22.71,1150.0,34.93,3.64,1.23
2020-11-14,13840.25,28594.3,21552.75,3505.2,8344.75,16019.6,3375.55,11772.45,12780.25,23.097,1118.78,34.73,3.62,1.24
2020-11-13,13779.75,28465.7,21436.85,3482.25,8308.9,15869.25,3355.3,11726.45,12719.95,23.1,1153.6,34.57,3.6,1.25
2020-11-12,13743.35,28278.8,21363.35,3447.45,8284.05,15743.2,3344.1,11600.8,12690.8,25.35,1109.2,34.48,3.59,1.25
2020-11-11,13889.9,28845.0,21330.45,3437.75,8255.2,15773.55,3338.85,11570.35,12749.15,23.45,1131.6,34.5,3.61,1.25
2020-11-10,13698.6,28606.0,20978.5,3386.35,8127.25,15713.05,3305.75,11168.9,12631.1,24.8,1132.74,34.18,3.58,1.26
2020-11-09,13158.25,27534.1,21820.15,3368.4,8067.65,15491.5,3243.65,11674.35,12461.05,25.75,1170.9,33.62,3.53,1.27
2020-11-06,12893.8,26798.95,21492.25,3318.2,8006.1,15180.75,3189.85,11623.35,12263.55,24.86,1077.2,33.09,3.47,1.29
2020-11-05,12659.35,26313.1,21385.65,3306.85,7995.5,15020.35,3183.05,11704.95,12120.3,27.58,1054.4,32.84,3.43,1.31
2020-11-04,12458.25,25771.6,21104.55,3211.6,7901.75,14628.5,3120.15,11608.65,11908.5,29.57,1092.1799999999998,32.27,3.37,1.33
2020-11-03,12468.2,25682.8,20736.0,3208.4,7848.85,14528.45,3110.25,11361.0,11813.5,35.55,995.7,31.82,3.34,1.34
2020-11-02,12089.05,24892.5,20732.3,3207.75,7732.25,14606.1,3098.7,11175.3,11669.15,37.13,915.3,31.43,3.3,1.36
2020-10-30,11636.05,23900.9,20916.85,3233.5,7758.4,14977.8,3129.65,11243.75,11642.4,38.02,1140.3,31.9,3.3,1.36
2020-10-29,11710.65,24092.0,20876.95,3190.95,7846.75,14722.15,3124.4,11226.0,11670.8,37.59,1133.3,31.56,3.3,1.36
2020-10-28,11802.4,24232.5,20810.3,3176.15,7922.75,14688.35,3141.6,11325.1,11729.6,40.28,1129.5,33.94,3.32,1.35
2020-10-27,12082.1,24769.5,21023.4,3200.05,7930.65,14752.25,3157.75,11511.5,11889.4,33.35,1148.7,34.49,3.37,1.34
2020-10-26,11827.85,24075.45,21265.7,3152.5,7833.65,14613.45,3113.2,11334.2,11767.75,32.46,1146.4,33.95,3.33,1.35
2020-10-23,11947.4,24478.3,21523.6,3222.75,8094.6,14901.7,3152.4,11503.05,11930.35,27.55,1145.8,34.37,3.38,1.33
2020-10-22,11921.35,24484.15,21413.5,3225.5,7864.15,14789.45,3145.1,11545.3,11896.45,28.11,1143.0,34.27,3.37,1.33
2020-10-21,11964.4,24635.05,21577.65,3204.95,7878.05,14643.55,3122.05,11645.7,11937.65,28.65,1157.9,34.4,3.38,1.33
