Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-01-03,ITC,EQ,1310.75,1318.95,1329.0,1307.0,1312.0,1313.15,1312.54,153779,20184102850000.0,,72042.0,0.4685
2005-01-04,ITC,EQ,1313.15,1309.05,1324.0,1300.0,1315.45,1314.5,1312.01,155057,20343628270000.0,,54076.0,0.3486999999999999
2005-01-05,ITC,EQ,1314.5,1324.8,1324.8,1281.0,1287.5,1296.8,1296.66,311265,40360511910000.0,,200330.0,0.6436000000000001
2005-01-06,ITC,EQ,1296.8,1294.0,1294.0,1261.15,1272.05,1276.7,1277.22,223319,28522773520000.0,,121539.0,0.5442
2005-01-07,ITC,EQ,1276.7,1266.05,1306.9,1266.05,1303.0,1300.2,1288.5,219437,28274414210000.004,,121689.0,0.5546
2005-01-10,ITC,EQ,1300.2,1300.0,1300.0,1268.0,1268.0,1274.45,1280.66,148137,18971373630000.0,,75214.0,0.5077
2005-01-11,ITC,EQ,1274.45,1252.8,1295.0,1250.15,1269.0,1271.4,1277.41,134957,17239588000000.0,,44801.0,0.332
2005-01-12,ITC,EQ,1271.4,1289.75,1298.0,1253.05,1270.0,1271.05,1273.28,356009,45330061915000.0,,183768.0,0.5162
2005-01-13,ITC,EQ,1271.05,1284.7,1284.7,1230.0,1245.0,1244.45,1255.31,282347,35443177630000.0,,146741.0,0.5197
2005-01-14,ITC,EQ,1244.45,1247.0,1263.0,1220.15,1257.25,1253.0,1246.06,310557,38697347915000.0,,152276.0,0.4903
2005-01-17,ITC,EQ,1253.0,1256.0,1256.0,1230.0,1250.0,1242.8,1242.81,225826,28065909595000.0,,116836.0,0.5174000000000001
2005-01-18,ITC,EQ,1242.8,1249.0,1264.4,1242.05,1245.05,1250.05,1255.09,314211,39436242575000.0,,187695.0,0.5974
2005-01-19,ITC,EQ,1250.05,1250.05,1260.0,1230.7,1240.1,1240.4,1241.53,155862,19350790665000.0,,85407.0,0.5479999999999999
2005-01-20,ITC,EQ,1240.4,1258.8,1393.0,1212.0,1393.0,1378.85,1337.27,2916469,390010395210000.0,,1188845.0,0.4075999999999999
2005-01-24,ITC,EQ,1378.85,1382.35,1386.0,1338.15,1341.05,1346.75,1351.18,709371,95849065985000.0,,362660.0,0.5112
2005-01-25,ITC,EQ,1346.75,1342.0,1406.85,1312.2,1360.0,1359.15,1364.87,1394355,190310861260000.0,,459425.0,0.3295
2005-01-27,ITC,EQ,1359.15,1361.15,1399.0,1342.0,1377.0,1384.4,1362.18,1129215,153818916755000.0,,467137.0,0.4136999999999999
2005-01-28,ITC,EQ,1384.4,1384.0,1417.0,1369.0,1391.0,1399.3,1400.22,946163,132483955065000.02,,393676.0,0.4161
2005-01-31,ITC,EQ,1399.3,1380.0,1405.0,1335.0,1371.0,1361.5,1360.88,1231166,167546599000000.0,,443228.0,0.36
